Emotion,Text
anger,I'll never ever work together with him ! 
anger, Will you take my materials back from him for me ? Please ! 
anger,"Oh , my God ! I've been cheated ! "
anger, It's a brick ! I can't believe how stupid I was . Damn it ! 
anger," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
anger,It smells like an ashtray in here ! 
anger, What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
anger," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
anger, Fine ! I want a divorce ! 
anger, Isn't there anything that sounds fishy ? 
anger," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
anger," What ? She was cheating on me with that ugly guy . Oh , no , I feel like such a loser . "
anger, But she lied to me . 
anger, For God's sake ! It's too bloody . How can people be so cruel ? 
anger, You can't prick the fish to please the sick tastes of some bloody people . 
anger," Just an animal ? But it has life too . If you want a tattoo , get one . It's your choice because you want it . But has anyone asked the fish if it wanted one ? "
anger," With everything , with everybody , with all this ! "
anger, The tapping of your pen on your desk . It ’ s driving me crazy . 
anger, Fine ! By the way would you mind not slurping your coffee every time you have a cup ! 
anger," I don ’ t slurp my coffee . And plus , how can you hear it when you ’ re shouting into your phone all the time ? "
anger, You ’ Ve got to be kidding me ! You ’ re complaining about me talking on the phone when you go out for a cigarette break ten times a day to shoot the breeze ? 
anger," Look , we have a lot of accumulated anger from working in these conditions , and it ’ s probably okay to let off steam once in a while . But , it ’ s probably not a good idea to keep it up I ’ m willing to forgive and forget and if you are . "
anger, Fine . Let's call a truce . I'll try to more considerate and to keep the noise down . 
anger, It's the new neighbor . I hate her guts . 
anger, She made another white crack about my clothes . 
anger,Why didn't you tell me you had a girlfriend ? 
anger, You can't be serious . How dare you not tell me you were going to marry her ? 
anger," Oh , you men ! You're all the same . "
anger, That's just wrong ! why don't you just quit ? 
anger, it sounds like any job will be better than the one you have now ! 
anger, That ’ s too much . 
anger," Oh , shut up , will you ? It was all your fault.If you'd kept quite this would never have happened . "
anger," Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . "
anger,How dare you accuse me of stealing your computer ? 
anger, I don ’ t want to . 
anger, Certainly not . 
anger, Turn on the radio ? What for ? 
anger, Listen to some music ? And who ’ ll cook dinner ? Will you ? 
anger," To a disco ? Oh , no . You know I hate pop . "
anger, Absolutely not ! I refuse to have thirteen people for dinner on Friday ! 
anger,I can't bear you anymore . I am sick of your drinking . I am divorcing you . 
anger, How many chances should I give you ? I've given up on you ! 
anger, I might just ! Enjoy your stupid game ! 
anger, How could I feel easy ? I ’ m really pissed . 
anger, And let them ruin my life ? Forget it ! 
anger, I really want to take him over my knee . 
anger," Yes , me too . I think I ’ Ve lost some important clients recently because of this train ! "
anger, Stop it . Teacher doesn't treat me any different than she does everyone else . 
anger," Hey , I worked hard on that report and I deserve the grade I got . "
anger, You're just jealous because you didn't do as well as you thought you did . Admit it . 
anger, If you think that she is not fair with your work then you should talk to her in person instead of stewing over it . 
anger, That's absolutely ridiculous ! 
anger, How could you ? I reminded you just this morning . 
anger, I have been looking forward to this performance all month . 
anger,I'm tired of you always wearing my clothing ! 
anger, Aren't you the pot calling the kettle black ? You're wearing my pants right now ! 
anger,Thanks . Sometimes talking with a friend is a great way to get over something . Do you mind if I vent a little bit ? 
anger," Great , because I am really mad at William . I mean , what kind of an idiot wouldn't be able to appreciate a smart , beautiful woman like me ? Anybody who would be friends with that guy has to be really dumb . "
anger," Oh right ... present company excluded , of course ! "
anger, What happened to you last night ? You didn ’ t show up . 
anger,How annoying ! 
anger, Just what I thought ! 
anger," Because I'm the wrong sex , of course ! "
anger," Yes , that was probably it ! It isn't fair . "
anger, Why should I wear a skirt ? Or a dress ? 
anger, Why should I do that ? I'm good at my job ! That's the only important thing ! 
anger, I'm tired of your cut-and-dried opinions . Who do you think you are ! 
anger, How dare you speak to me like this . 
anger, Why not ? 
anger,I've been standing here since half past seven . Where on earth have you been ? 
anger, It's really very easy saying you're sorry . 
anger," You see , that ’ s what I ’ m talking about , I can ’ t stand your sarcastic jokes anymore "
anger," Don ’ t criticize Mario or else I ’ ll start on those fat , drunk friends of yours ; they ’ re no saints . "
anger," You ’ re unbearable ; you can walk home , I ’ m leaving . "
anger,Why didn't you tell me you had a girlfriend ? 
anger, But you should tell me you were in love with her . 
anger, You know you didn't . 
anger," Yes , but you might have told me before . "
anger, You can't be serious . How dare you not tell me you are going to marry her ? 
anger," Oh , you men ! You are all the same . "
anger, She ’ s your sister.What she asked was only duck soup for you.Why can ’ t you be good to her ? 
anger,You ’ re making my blood boil . 
anger, I'm about to explode ! You ’ Ve made a mess of this matter . 
anger, Sorry isn ’ t good enough ! What can you do to help me ? 
anger," Well , obviously , what you ’ re doing is not good enough ! "
anger,I simply couldn ’ t help giving him the fish-eye when I knew all that . 
anger, It is impossible . You cheated on me . 
anger, Shut up ! 
anger," But you have had lily already ? You should have told me about her , but you didn't . "
anger, Leave me ! Go away ! 
anger, I am very grateful for your advice . 
anger, It's my pleasure to talk with you . 
anger, I don't think you really want to hear about it . 
anger," To be honest , it was horrible ! My manager is such a pain in the neck ! "
anger," Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! "
anger," There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired for me for sure . "
anger," He treats everyone pretty poorly , but the way he treats me really takes the cake ! "
anger, I really have no idea . All I know is that the thought of him really curls my hair ! 
anger,I really like the record you lent me the other day . 
anger, I'm glad you like it . 
anger, And thank you very much for letting me keep it so long . 
anger, Not at all . 
anger, I'm most grateful . Everyone in our class enjoyed it . 
anger, I'm glad . 
anger," Hi , Gary , what happened ? I was waiting for you at the theater . Why didn ’ t you meet me there ? "
anger, Don ’ t you know our movie starts at seven ? And we were going to meet at the theater at five to seven . Then it doesn ’ t make sense to meet at the apartment . 
anger, Why don ’ t you try to be clearer about your intentions ? 
anger, It ’ s okay . I don ’ t want to go now . We ’ Ve already missed ten minutes of the movie . I don ’ t want to see a movie without watching the beginning . 
anger, What ’ s wrong ? I want a break from this horrible job . 
anger," How could I help but follow it ? The fluctuation of dollar is killing my company ! The exchange rates are eating into our profits , and we can't do anything about it . "
anger," It's really frustrating , isn't it ? I have the same problem . I would feel a lot better if the currency was a little more stable . With the way the dollar plummeting lately , my securities have gone up in smoke . "
anger," Every day I have less money ! I haven't spent anything , it is just melting away because of the shifts in exchange rate . "
anger," Oh , don ’ t talk to me about last night ! It was the most awful evening I ’ Ve ever had . "
anger," You can say that again . Susan ’ brother dropped in from out of town , so I offered to put him up for a few days . But he ’ s driving me up a wall . This guy is bottomless pit . "
anger, He doesn ’ t lift a finger ! I bend over backwards cleaning up all day and he sleeps in until noon . 
anger, That wouldn ’ t be a lie ! 
anger," But it is ! Take this morning for example . The subway was so packed this morning , I got totally squished by about a hundred busy commuters on the way to work . "
anger, I didn't like her butting in where I didn't want her . She's a chatter box . 
anger, I know . But I just can't stand her butting in when I was trying to emphasize a point . 
anger, It is stupid to say so . 
anger,Bang ? ! Bang ! Bang ! What are the Kings doing at seven o ’ clock on Sunday morning ? 
anger,Finding an excuse is obviously down your alley . And trying to avoid taking care of the children is what you are good at . 
anger, You are passing the buck . I'll be hanged if I ask you to go to the park with us . 
anger,Ah ! No ! Damn it ! 
anger, So what ? I just lost one hour's worth of work . 
anger," Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . "
anger, His name is not fat boy ! You can be so rude sometimes . 
anger,"Stop running around in front of the TV , will you ? Why don ’ t you just sit and watch ? "
anger, Then stay away . Nobody's keeping you from doing that . 
anger,I am fed up with Jack . He is so weak in dealing with other people and always eats dirt . 
anger, How do you know that I didn ’ t try ? I just couldn ’ t manage it . 
