Emotion,Text
disgust,"Oh , no ! "
disgust, How dreadful ! 
disgust," Oh , dear . That ’ s terrible . Not at all what I expected . "
disgust," It ’ s awful , isn ’ t it ? "
disgust, I can ’ t bear to look at it . I ’ m rather disappointed . 
disgust," You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . "
disgust," Anyway , I don ’ t want to post my face up for sale on the internet like that . "
disgust, I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . 
disgust," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
disgust," I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . "
disgust, Because you seem to have lost your vigilance . You should be on the watch out . 
disgust,Cheese ! It tastes like cardboard . 
disgust, I think so . Maybe that ’ s why it ’ s cheap here . 
disgust, It was a nightmare . 
disgust, Not really . I thought it was disappointing . 
disgust, Do you think so ? I don't like it very much . I found it rather uncomfortable . 
disgust, Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year . 
disgust, This is terrible . Why do hackers play such a dirty trick ? 
disgust, So they create viruses to tell people they are smart ? That's really sick . 
disgust, The water there looks so dirty . 
disgust,I'm really sick of waiting for a bus . 
disgust,"Lousy weather , isn't it ? "
disgust, It feels like ten degrees below zero at least . I don't mind the cold weather but I do hate it when it gets slippery . 
disgust," Well , I hate the noise in the city , but I love being around lost of people . The problem is that you can ’ t have lots of people and have peace and quiet . The two just don ’ t go together . "
disgust, Well . I ’ m rather disappointed with it . 
disgust, It ’ s too old . And it isn ’ t as specious as I expected . 
disgust, Awful . It was a complete waste of time . 
disgust, But he is always talking big . 
disgust,She is so stupid . 
disgust, So what ? 
disgust, Really ? 
disgust," Oh , don't talk to me about yesterday ! It was the most awful evening I've ever had . "
disgust," Well.John had promised to be my date , but he stood me up . I waited for a full hour in the cold wind . "
disgust, I left after the opening dance . I couldn't wait to get out of there . 
disgust,What do you think of the new television channel ? Aren't the programs awful ? 
disgust," I quite agree with you . They are terrible . They are complete waste of time , but my wife disagrees with me . "
disgust,I hate this kind of weather ! 
disgust, I think he had water on the brain . This is bad . 
disgust,I really dislike reading academic books . 
disgust,Get up as early as six o'clock only to be jammed at every crossroad and still late for work . What a life ! I've had enough of it . 
disgust," I know cycling is always a more favorable choice than a bus . After all , it's a sport . But do you think it a pleasant experience to take in the dirty , polled air on the road ? "
disgust," Oh , Goodness , please not again.That ' s what we did last week . "
disgust,I dislike Susan . She is always above herself . 
disgust," Oh , you are such a dog ! "
disgust, Oh ! I hate rainy days ! 
disgust,What a bother having to climb storeys home every day . 
disgust, I don't care ! 
disgust," oh , don't mention it . It was terrible . "
disgust," the food station was as crowded as usual . I waited for 20 minutes for my sandwich , and when I finally got it the chicken was underdone . "
disgust, Hell with it ! Nobody will give it an Academy award ! 
disgust, I'm getting sick of work man . I can't take the political bull in the company any more . 
disgust,I don't know why Mark often comes to me and asks me for advice . I smell some rat in it . 
disgust, Nonsense ! There's no indication that he's in love with me . 
disgust,"Wow , that terrible movie is finally over . Next time I ’ m picking the film , because I don ’ t want to end up seeing a chick flick . "
disgust," Not everything , just this film . Even the title is ridiculous . and it ’ s so long , those are the two and a half most wasted hours of my life , so much so that I ’ m thinking about asking them to give me my money back . "
disgust, I hate school ! 
disgust, I messed up my mid-term exam so badly today ! 
disgust," yes , but it's so humiliating ! I don't want my friends to know I failed ! "
disgust,I'm really tired of my job in the bank . I'm thinking about changing it . 
disgust,There will be another sandstorm here tomorrow . 
disgust, It's the fourth one this year . Isn't it horrible . 
disgust," It was boring . The music was too slow and the food was lousy and , above all , I was really sick of the same old crowd all the time . "
disgust,What do you think of the new television channel ? Aren't the programs awful ? 
disgust," I quite agree with you . They are terrible . They are complete waste of time , but my wife disagrees with me . "
disgust," Actually , what bothers me is the violence . There are far too many detective and police shows . "
disgust," I couldn't agree with you more . There aren't enough educational programs , and even the news shows are not well done . "
disgust, That's disgusting . 
disgust,All the routine work really browns me off . 
disgust, I wish I hadn't chosen this job . 
disgust,My husband goes out drinking with his friends every night . I'm fed up with it . 
disgust," Well , it's just that she put a lot of makeup on her face . Actually , natural beauty comes from within . "
disgust, She has nothing that deserves my jealousy . I don't have to put things on my face and I still look pretty . Don't you think so ? 
disgust,Ugh . Another advertisement . They ’ Ve added two hours of advertisements to a two hours movie . 
disgust, Yeah . We ’ re never going to get to the end of this one . 
disgust, I hate computers . Sometimes I think they cause more trouble than they're worth . 
disgust, Don ’ t dress like that . You ’ ll make fool yourself . You look stupid in that robe . 
disgust, Maybe it is . But it ’ s out of fashion . 
