Emotion,Text
fear,I know this is going to be one of those nights where it takes an Act of God to fall asleep. 
fear,This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.
fear,"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball.."
fear,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!
fear,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea "
fear,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible"
fear,Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.'
fear,"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success"
fear,If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter
fear,There goes the butterflies in my stomach. #nervous #anxietyproblems
fear,There goes the butterflies in my stomach.  #anxietyproblems
fear,@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.
fear,@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?
fear,"Honestly, there are some awful people on the internet... smh..."
fear,"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!"
fear,"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn"
fear,“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato
fear,@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking
fear,@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? 
fear,Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4
fear,@joey_coops yes Hun! Avoid at all costs!! #nightmare
fear,@joey_coops yes Hun! Avoid at all costs!! 
fear,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid
fear,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? 
fear,You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business
fear,@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩
fear,@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles}
fear,"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA"
fear,"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan "
fear,"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid"
fear,Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous
fear,Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. 
fear,"@spencer0415 awe, I love you kid!!"
fear,"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now."
fear,"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals."
fear,@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?
fear,Nothing worse than an uber driver that can't drive. #awful
fear,Nothing worse than an uber driver that can't drive. 
fear,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror
fear,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot 
fear,"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +"
fear,"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm"
fear,@SAHARTHERAPPER I unfollowed without hesitation &lt;3
fear,Watching It Follows.  This is a super freaky movie.  #scary
fear,"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐."
fear,And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week
fear,"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪"
fear,also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up
fear,"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless."
fear,@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully
fear,@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! 
fear,#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax
fear,"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues"
fear,My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.'
fear,"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂"
fear,Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore
fear,Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore
fear,I have been seeing terrible terrible prescriptions this week. What's going on?
fear,"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military"
fear,Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying
fear,@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON
fear,Rooney shocking attempted cross
fear,That's an awful miss from Rooney.
fear,Another fun fact: i am afraid
fear,Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU
fear,I don't want speak front to him #afraid #intimidate #nopanicattack
fear,I don't want speak front to him   #nopanicattack
fear,I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope
fear,When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing
fear,When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing
fear,@RyanAbe awe yay thank god I was so worried.
fear,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror
fear,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography 
fear,@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs
fear,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful
fear,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate 
fear,T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp
fear,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest
fear,The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest
fear,@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄
fear,"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful"
fear,Northampton are awful 🙈
fear,It really is amazing the money they give to some of these QB's #nfl #texans #brock 
fear,It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible
fear,@lukeshawtime terrible
fear,@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful
fear,@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius 
fear,Trying to book holiday flights on @britishairways website is becoming a #nightmare
fear,Trying to book holiday flights on @britishairways website is becoming a 
fear,Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong
fear,Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong
fear,"#twitter #users Tweeting on twitter is like playing a game against the computer. Where's the life, Everyone too #afraid to say something?"
fear,@ReaganBattalion That's a terrible thing to accuse Scott Baio of.
fear,Tweeting from the sporadic wifi on the tube #perilous
fear,Tweeting from the sporadic wifi on the tube 
fear,Southend players always haunt Man U
fear,"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!"
fear,Not the best horror ever but I like that the uncertainty
fear,Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.
fear,@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.
fear,"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another"
fear,@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible
fear,@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months 
fear,"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking"
fear,"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... "
fear,Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation 
fear,Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful
fear,An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka
fear,So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking
fear,So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points 
fear,#Matthew 25; 1-13\nCould somebody shoot a #video about it?\nIt could be 1 of those #horror videos but in the same time turning many 2 #Christ
fear,@bkero @whispersystems Which really sucks because typing on a mobile device is always horrible and I hate it.
fear,Be #afraid of the #quiet ones they are the ones who actually #think.
fear,@riinkanei he's a horrible person and now i gag when i see people quote him
fear,What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation #fear #success #hustle
fear,What we fear doing most is usually what we most need to do.' ~Tim Ferriss #inspiring #inspired #motivation  #success #hustle
fear,a pedicure is supposed to be nice but honestly I'm so nervous rn my feet are too ticklish
fear,US you need to band together not apart #nevertrump he promotes hatred and fuels #fear
fear,US you need to band together not apart #nevertrump he promotes hatred and fuels 
fear,"What a shamefull, unequal, dangerous and worrying world we live in nowadays! #terrifying #Charlotte  #shitworldforourkids"
fear,Been up since 4am. Too scared to go back to sleep #nightmare — feeling scared
fear,@EASPORTSFIFA EA sports technical support team really suprised me 😊 SUPRISED ME AT HOW SHIT THEY WERE #awful
fear,@EASPORTSFIFA EA sports technical support team really suprised me 😊 SUPRISED ME AT HOW SHIT THEY WERE 
fear,@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible
fear,@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom 
fear,@JamesPiotr I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from.
fear,"BibleMotivate: Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you. #faith #leadership  #mindfu…"
fear,@chelsysayshi @Adweek touché! I'll start paying more attention and test this 🕵🏻‍♀️ #AdweekChat
fear,"That boy so intimidated he go back and say dumb mess like that. 🤔 lol boy please, you know good and well."
fear,The ecosystem is meant to break thru the wall of #apprehension. It's easy to follow a fave music star &amp; watch their goings on–but #dentists?
fear,Plus why did I have a baby 4 days before Christmas this is gonna haunt me forever!!!
fear,"@BennyN_PR If you need any assistance with your concern so it can be resolved, feel free to email us with your info. ^AP"
fear,inha's and seol's banter is rly fun to read. im in awe that seol is willing to deal with her tho
fear,@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare
fear,@littlepieces Customer services got involved and eventually completely wash their hands of it.  #dreamornightmare
fear,and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare
fear,and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets 
fear,I'm way too busy and tired all the time to worry about my past and the things I should be regretting (but I never am).
fear,When City Hall has the fire alarm go off and it's been 15 minutes and the fire department still isn't here
fear,@britishairways term 5 security queues at arrivals #shocking
fear,@britishairways term 5 security queues at arrivals 
fear,@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 #terrorism
fear,@RussiaInsider Really sad &amp; surprising. 1 side #Russia fighting against #IS &amp; on the other supporting #Pak which is epic centre 4 
fear,The #Texans should never play a prime time game again...this is #awful #TNF
fear,The #Texans should never play a prime time game again...this is  #TNF
fear,So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media #fear
fear,So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media 
fear,😫 ughh I just want all this to be over.. it's like a nightmare! can we all just get along?
fear,Time for some despair #SDR3 #despair #fuckthisanime
fear,Time for some despair #SDR3  #fuckthisanime
fear,Fuckin restless
fear,Annoyed with @TripAdvisorUK bullying me to download an app that eats my phone memory. Will seek alternative from now. #bully #tripadvisor
fear,Annoyed with @TripAdvisorUK bullying me to download an app that eats my phone memory. Will seek alternative from now.  #tripadvisor
fear,"@News24 #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met"
fear,I #cry out #fear to clear a #path\nBut my Voice seems 2 silent 2 chase a #rat\nAm just indoor #expecting to open door\na #weak wise #fool I am
fear,@jshayevitz @Israel is a #bully worse than #hitler a #demon under #human guise.. its the cause of all #MiddleEast problems!
fear,@kevinrouth Now that's what I call a gameface! #gameface 
fear,"@NikeSupport ok, thats it. After 2 weeks not being able to sign in, time to move on &amp; find another app. I will strongly discourage NikeRun"
fear,#quote What U #fear controls U. Fear is not out in life but in ur mind. Real difficulties can be overcome - Cheryl Janecky
fear,I hate those sugar cookies shit is awful
fear,"@gfunk85 @officialpes you must have been one of 'them'. Those that used long balls to win matches. Your reign of terror is over, accept it"
fear,@DaddyION you and that awful music can take a walk... right off a cliff. K. 😘
fear,"It is important to seek peace, even in the midst of a horrific war #CreateSyria  @intalert #TalkingPeace #buildingpeace"
fear,@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! #nervous
fear,@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! 
fear,what to wear Friday \nspeaking in front of 100's.   #nervous
