Emotion,Text
fear,I was scared stiff of giving my first performance . 
fear, It must be a haunted house . Are you frightened ? 
fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
fear, I think someone is stalking me . 
fear," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
fear, Why can't I call the police now ? He was definitely following me ! 
fear, I'll see you at the airport at 12 thirty P . m . 
fear," Oh , how dreadful ! I ’ m ever so sorry . "
fear,It ’ s dangerous . I don ’ t dare to go . 
fear,I'm so nervous about this oral test . 
fear,I'm terribly nervous . 
fear,"Man , I ’ m freaking out ! You gotta help me ! "
fear," I can ’ t go through with this ! I just can ’ t ! I ’ m not ready for marriage ! What was I thinking ? I ’ m only thirty five years old ! I ’ Ve got my entire life ahead of me , adventures waiting ! I can ’ t settle down yet ! "
fear," School . Since I was working part time , I had a difficult time keeping up with class . Now that we have exams coming up , I'm totally freaking out . "
fear, Not on your life ! I know I'd break my leg 
fear,He followed me all the way home ! 
fear," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
fear, Why can't I call the police now ? He was definitely following me ! 
fear, I suppose . What can they do ? I don't even know who he is . 
fear," No , I'm scared of cats . "
fear, Is it a horror movie ? 
fear, No way . I will be scared out of my wits . 
fear,"I don't know what to do , if I can't find the money . "
fear, It's a large sum of money . I can't afford to lose it . 
fear, What you said gives me the creeps ! 
fear, It's scary . 
fear,"Dan , Dan , dude . You have to come over to my house right now ! "
fear, Just get over here ! 
fear, Come in ! Quickly ! 
fear," Security , Dan , security ! You can never be too safe you know ! A lot of sickos out there . Just the other day they caught that peeping tom red handed ! Had a high power telescope and binoculars by his window . "
fear," Paranoid ? I ’ m not paranoid ! I ’ m cautious ! You see Dan , we have to be on guard at all time ! People just invade your privacy as if they knew you ! Telemarketers , solicitors , even your bank ! They have way too much information ! I like to keep everything on a need to know basis . "
fear, You are being watched ! Be careful Dan ! Be careful ! 
fear," I'm dead serious about this , Sally . "
fear,"Oh , God . It ’ s late . I ’ m afraid I have to leave . "
fear, It must be a haunted house.Are you frightened ? 
fear, Frightened ? You must be joking . 
fear, What a thrilling trip ! 
fear,I'm afraid of the darkness . 
fear, You think it's funny . I'm terrified . 
fear, But I've never jumped off anything in my life . The highest thing I've jumped off is my bed . I'm scared . 
fear," I guess I'm adventuresome , but then I'm scared too . "
fear,I'm scared that she might not come back . 
fear, But she took her luggage away with her . 
fear, Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me . 
fear, The exam ! The terrible exam ! I'm not ready yet . Can you tell me how to get good marks ? 
fear,"Watch out , Patrick ! "
fear, I use those sites . Hey ! Let's go check out a flea market later . 
fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
fear, I think someone is stalking me . 
fear," I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring. He just kept staring at me . He didn't stop . "
fear," I didn't do anything . Finally , he left.But then I saw him again today . Outside the shoe store . Near the cafe . I went into a CD store and pretended I was looking at CD's . But then he came in too . "
fear, He followed me all the way home ! 
fear," Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ? "
fear, Why can't I call the police now ? He was definitely following me ! 
fear," Oh , the final exam is coming soon . I feel a little bit nervous . "
fear, I feel very nervous about it . 
fear," Well , I just saw a horror movie last night . It almost frightened me to death . "
fear,"Dad , I'm scared . "
fear," But , dad , it's stormy outside . "
fear," Ar ! Dad , the power went out . "
fear," Well , I am wondering if we took a hang-out for a drink or something . You know , I just came back from a really tough interview . I was quite nervous during the interview . I really want to have the job . Right now , I am still a little on the edge . I am not sure if I could convince them during the interview . "
fear," Oh , that scared me . "
fear," Oh , dear ! How ruthless ! "
fear, Oh no ! Not a good swing at all ! It ’ s definitely not his day today . On the seventh hole he got a bogey and before that he barely made par . He will definitely not get a birdie on this shot . 
fear," Oh no ! A bear ! Run , Tiger , run ! Somebody call animal control ! "
fear,My hair stood on end when I saw the bloody scene . 
fear, Umm . I think my water just broke ! Get me to a hospital ! 
fear,I have two finals this week and one oral presentation and I'm not ready for any of them ! 
fear, Steven ! What ’ s going on ! Who were those guys ? I didn ’ t know you have a gun ! What ’ s going on ! 
fear," Steven , I ... "
fear, Of course not . I'm afraid of them . 
fear, Tomorrow is Christmas and I haven ’ t bought my mom anything ! I ’ m such a bad son ! 
fear,My father ’ s angry face always makes my blood run cold . 
fear," Well , I have acrophobia . I have a chronic fear of flying . "
fear," Cindy , I'm scared . "
fear," Wait , what are you doing ? I ’ m a married woman ! You can ’ t just try to kiss me like this ! "
fear," But in my case , the fact matches the theory . Mike is humorous , energetic , always as fresh as a daisy , but probably too ambitious . It frightens me ! "
fear, Thank you very much . 
fear, i think i'll be a little afraid . 
fear, afraid of making a mistake . 
fear, But I get scared the moment I see a needle . How could I stand having needles in my body for hours on end ? 
fear," Scraping is too terrifying . When they finish scrapping , your body is all red , as if you were just tortured . Cupping is the same , your body ends up with red circles all over . It looks like someone beat you up . "
fear, Is it gonna hurt ? 
fear, I haven't gone to the interview yet . It's tomorrow . I am so nervous . 
fear, Now he's looking over here ! He's coming ! 
fear, OK ! I'll call security . 
fear, Let me have a look . Whoa ! Get away from me ! 
fear, I think you have chicken pox ! You are contagious ! Get away ! Don ’ t breathe on me ! 
fear, Well in the meantime you are a biohazard ! I didn ’ t get it when I was a kid and I ’ Ve heard that you can even die if you get it as an adult ! 
fear, I'm afraid you are beginning to look a little overweight . You really need to stop smoking . That's the main reason you're unhealthy . 
fear," I turned on my laptop and it broke ! I mean , the monitor went black ! "
fear," I don ’ t feel sick , ... let me check ... Nope ! No fever , I ’ m fine . "
fear," Phew ! . . . Wait a minute , CRASH ? ? ! ! Spyware ? Trojans ! What ? where ? when ? ! "
fear, It's not a cut . It's a gash ! It's bigger than a cut ! Ah ! I need a doctor . 
fear, I'm bleeding too much . 
fear," Yes . My bike has one under the seat . Get it , quick ! "
fear," No , forget that ! Do the tourniquet first . I'm losing too much blood . "
fear, I ... I failed to pass the examination . How I wish I had studied hard . 
fear, I love that dish as well . It is coconut chicken with rice . 
fear, I sometimes find the shadow of death in front of me . 
fear,"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . "
fear," To tell you the truth , I'm really nervous . I had a dream last night that I was being interviewed by a three-headed monster that kept trying to bite my head off . Oh , wow , my palms are sweaty just thinking about it . I just hope Ms . Mendoza won't be able to hear my teeth chattering . I just hope I get through this in one piece . "
fear, I'm scared . 
fear," Well OK , I am just afraid of getting food poisoning . "
fear, This can ’ t wait ! I need your help now ! 
fear," He just stays in the kitchen and watches you . Before the Chinese New Year , the kitchen god tells his boss whether you were good or bad this year . Just like Lester does ! "
fear," Me too , I don't know why , but every time I see the guy , I break into a cold sweat . "
fear,"Hi , Alan . I feel very nervous because I am going to have a job interview next Monday . Could you please give me some suggestions ? "
fear," I am afraid your diamond bracelet has gone , darling ! "
fear, Is it gonna hurt ? 
fear,That was really a nightmare ! 
fear, I was stuck between 15th and 16th floors in the elevator . 
fear, I pressed the emergency button ! And then I stayed in the elevator waiting for the rescue . 
fear, I don ’ t know anything about the bills or laws they ’ re trying to pass . 
fear, Nobody told me that before . 
fear,"Mom , Dad ! Can you come to my room ? I think there is something under my bed ! "
fear, Now I know that something bad is up ! 
fear, I've told you a thousand times . I don't want to go in the Haunted House.It ' s too scary ! 
fear," Ah , thanks . "
fear, I am worrying about it too . I want to install a security door . 
fear," Oh , I hate having teeth pulled out . Will it hurt ? "
fear, I think it's dangerous . What if I can't turn it off ? 
fear," It's me , Ali . There's this strange guy who keeps coming around . He's been here three times this week . "
fear, He makes me nervous . He looks at me funny . And he never buys anything ! 
fear, I am happy that you like the house . We should write down what we like so that we can remember it . 
fear, Hello ? Can you help me ? My computer ! Oh man ... 
fear," I turned on my laptop and it broke ! I mean , the monitor went black ! "
fear," I don ’ t feel sick , ... let me check ... Nope ! No fever , I ’ m fine . "
fear, Let me have a look . Whoa ! Get away from me ! 
fear, I think you have chicken pox ! You are contagious ! Get away ! Don ’ t breathe on me ! 
fear, Well in the meantime you are a biohazard ! I didn ’ t get it when I was a kid and I ’ Ve heard that you can even die if you get it as an adult ! 
fear, I sometimes find the shadow of death in front of me . 
fear," Really , it's so beautiful . "
fear," What ? A fire ? Oh , my God ! What shall I do ? Please get me out of here ! "
fear, I can smell smoke ! 
fear, Gosh ! I can see the flames ! 
fear,"Oh , my god . What happened ? Are we dying ? "
fear, It's not a cut . It's a gash ! It's bigger than a cut ! Ah ! I need a doctor . 
fear," Yes . My bike has one under the seat . Get it , quick ! "
fear," No , forget that ! Do the tourniquet first . I'm losing too much blood . "
fear, I wish everything in life was so simple . Thank you . 
fear," Not a problem , sir . Please remember us in the future . "
fear, You are scaring me ! 
fear, Too bad . I really like it . 
fear, He is not answering . You'd better check his pulse and breathing . 
fear," Hello ? Yes , someone has passed out at Dongle Ave . and 2nd street . He isn't breathing and doesn't have a pulse . Yes , my friend is performing CPR . Ok , thank you . They are sending an ambulance . Here , let me help . "
fear, Yeah ? 
fear, It doesn't work . It looks like it's broken . I need to get to a hospital . You should drive me there . 
fear, But there are only two more days until the bidding closes ! 
fear,I'm really in a flap about the interview . 
fear, I'm in such a need of the job that I can't afford any mistakes . 
fear, I know for sure that something is wrong ! 
fear,I'm a little nervous . 
fear, I ’ m a little nervous . I ’ Ve never flown before . 
fear, I'm worried that everything will be chaotic ! 
fear, Promise that you won't get angry . 
fear, I ’ d be afraid to jump from that height ! 
fear, I just watched a movie and I'm scared . 
fear,"Doris , I'm glad you're home . I'm terrified . I don't know what to do ! "
fear, I think someone is stalking me . 
fear," I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring. He just kept staring at me . He didn't stop . "
fear," I didn't do anything . Finally , he left.But then I saw him again today . Outside the shoe store . Near the cafe . I went into a CD store and pretended I was looking at CD's . But then he came in too . "
fear, Yes . Then I noticed he was on the sidewalk behind me . He was following me . 
fear," Oh , my god ! No air-conditioner ! "
fear,"Jack , let ’ s go ! "
fear, Some people are wildly shooting on the next street . We must leave here as soon as possible ! 
fear, I hate dentists . 
fear, It always hurts . I hate going . 
fear," Okay , thank you . I'll make another reservation as soon as I can . "
fear, It's been my pleasure to help you . 
fear," No , you don ’ t understand , I need this tomorrow morning ! I accidentally spilled beer all over my wife ’ s dress and we have a wedding to attend tomorrow ! She ’ s gonna kill me ! "
fear,"Yes , emergency . There is a huge fire here . "
fear, Umm . I think my water just broke ! Get me to a hospital ! 
fear,I am so worried about this English contest . I have butterflies in my stomach now ! 
fear,I know this is going to be one of those nights where it takes an Act of God to fall asleep. 
fear,This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.
fear,"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball.."
fear,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!
fear,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea "
fear,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible"
fear,Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.'
fear,"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success"
fear,If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter
fear,There goes the butterflies in my stomach. #nervous #anxietyproblems
fear,There goes the butterflies in my stomach.  #anxietyproblems
