Emotion,Text
happiness, That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . 
happiness," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
happiness, Good.Let ' s go now . 
happiness, All right . 
happiness," I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! "
happiness," Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! "
happiness, A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! 
happiness, It ’ s a wonderful Spanish style . 
happiness," Oh , I love the roof tiles on Spanish style houses . "
happiness, And it ’ s a bargaining . A house like this in river side costs double the price . 
happiness," Great , is it a two bedroom house ? "
happiness, That ’ s a nice area too . It ’ ll be a good investment for you . 
happiness," Right , congratulations . "
happiness, Thank you . 
happiness, That sounds like a good idea . I'll have to try that . 
happiness, Yes . I like cooking very much . I got this hobby when I was 12 years sold . 
happiness, That's wonderful ! 
happiness,You look so tan and healthy ! 
happiness, Thanks . I just got back from summer camp . 
happiness, Great . I got to try so many things for the first time . 
happiness, The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! 
happiness, That ’ s all right . Thank you all the same . 
happiness, Thank you for you help . 
happiness, Right . 
happiness, This is a really great place to watch a baseball game . 
happiness," Yeah , there isn ’ t a bad seat in the place . "
happiness," The fans are great here , too . Not like in Philadelphia . "
happiness, It was a great idea to spend a day watching a game . 
happiness," Yeah , it reminds you why they say baseball is America ’ s favorite pastime . "
happiness,How do you like the pizza here ? 
happiness, Perfect . It really hits the spot . 
happiness, Were you ? your performance was excellent . 
happiness, Thank you for your kindly words . 
happiness, Sure . Which button do I press to shoot ? 
happiness, All right . Say cheese ! 
happiness," How do you do , Ms . Yang.You speak very good English . "
happiness, Thank you . I begin to like English even when I was a child . 
happiness, Thank you for you help . 
happiness, That ’ s great ! Do you have any plans ? 
happiness, Sounds nice . 
happiness, How about a party at home ? That way we can get together and celebrate it . 
happiness," OK , Mum . I'll invite my friends home . "
happiness,"I feel like going for a drink , it's been a long day . "
happiness," Great idea ! Peter , I could use the drink . "
happiness, How about the new bar across road ? 
happiness," Sounds good . The food there is fantastic , too . "
happiness," I agree , I had lunch there last week . "
happiness, excellent ! That sounds like a plan . 
happiness,"Hi , Mr . Wang . Do you feel like going boating with me ? "
happiness," Sounds interesting , I haven't gone boating for some time now , and what time ? "
happiness, How about tomorrow afternoon ? 
happiness, Sure . Where shall I meet you ? 
happiness, At the gate of the park . 
happiness, Great . I look forward to meeting you . 
happiness, See you then . 
happiness, See you . 
happiness," Yes , it's so exciting , though I had the most falls in our skiing team . "
happiness,You look pale recently . 
happiness, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
happiness, Take good care of yourself . 
happiness, Thank you . I will . 
happiness,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
happiness, Good.So we don't have to work.How nice ! 
happiness, I like him.He ' s good for her . 
happiness, You're right . He sure is . 
happiness,How about going to the cinema tonight ? 
happiness, That's great . What's on tonight ? 
happiness, That's really interesting . 
happiness, Sure . So what about you ? Do you have any hobbies ? 
happiness," Well , I like collecting matchbox ! I'm not sure if that counts , though . "
happiness, Of course it does . Everybody has his own hobby . 
happiness," Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . "
happiness, I'll give it a try . Give me a call and let's go down together . 
happiness, Ok . I'll call you Saturday morning . 
happiness, Great . 
happiness," Yeah , I heard it's going to be a lot of fun . "
happiness," This party is going to have a DJ , food , and drinks . "
happiness," Wow , that does sound like it's going to be fun . "
happiness, So am I going to see you at the party ? 
happiness," Yeah , I will be there . "
happiness,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
happiness, Thanks . 
happiness," Oh , that's exciting . What does this guy look like ? Is he hot ? "
happiness, It seems you two are a good match . What qualities do you look for in a friend ? 
happiness," That sounds like fun , but did you exercise ? "
happiness," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . "
happiness,I'm going to Japan this year on vacation . 
happiness, Have you ever been to America ? 
happiness," No , but I'd really like to . "
happiness, You'd like it . 
happiness,"Hey , Mark , long time no see . "
happiness, Julie ! It's good to see you again . How have you been ? 
happiness, Great . I just got back from a week's vacation in Thailand . 
happiness, Really ? How was it ? 
happiness, Fantastic ! I didn't want to come back . 
happiness, I hear the beaches in Thailand are beautiful . 
happiness," They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . "
happiness, I do like Thai food . Did you see much of Bangkok ? 
happiness, Not much . I've got enough city life in Beijing . 
happiness, I know what you mean . I could use a vacation myself . 
happiness," Hey , wouldn't it be great if we could go to Thailand together sometime ? "
happiness," Yeah , it sure would . "
happiness,"Congratulations , Vivian . You won the grand prize , again . "
happiness, Isn't it just great ! I just knew I'd win ! 
happiness, Thanks a lot . 
happiness,Boy ! What a beauty ! I fall in love with her at the first sight . 
happiness, Of course.No girl is more charming . 
happiness, Thanks . 
happiness, Thank you very much for doing this interview . 
happiness, My pleasure . Have you seen the movie yet ? 
happiness," Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . "
happiness,"Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! "
happiness, I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 
happiness, I ’ m so happy to hear that ! I knew we belong together . I love you so much . 
happiness," thank you , Steve . You're always so encouraging . "
happiness, that's what friends are for . 
happiness," Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . "
happiness, You are right . Maybe we should work out a fitness plan and start to do more exercise . Sitting around in the office all day is no way of keeping fit . 
happiness," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
happiness," Yes , my wife is coming to get me . "
happiness, That's good . Do you live near here ? 
happiness, I don't need a car . I walk to work . 
happiness, You're lucky ! 
happiness,"Happy anniversary , sweetheart ! "
happiness, Yes . to our first anniversary and many more to come . Cheers ! 
happiness, I'll drink to that . Thanks for making this a night worth remembering . 
happiness," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . "
happiness," That's good to know . Oh , listen ! The band's playing our song . "
happiness, I requested it . What do you say ? Do you have your dancing shoes on ? 
happiness, Always . 
happiness, How about a party at home ? That way we can get together and celebrate it . 
happiness," OK , Mum . I'll invite my friends home . "
happiness,"How about seconds , Victor ? "
happiness, No.thanks . I'm full . 
happiness,Why don't you have dinner with me tonight ? 
happiness, I'd love to . 
happiness, Let's say about 6:00 ? 
happiness, That's OK with me . 
happiness," Sure , that would be great . I'll bring the wine . "
happiness, OK . Then I'll be expecting you . 
happiness, Can I get the black ball in ? 
happiness, The black ball has to be the final ball in the pockets . 
happiness, Let's go and try now ! 
happiness,How about going to hear a country-and-western singer tonight ? 
happiness, I'd enjoy that . 
happiness, I'll pick you up around 8: 00 . 
happiness, OK . I'll see you then . 
happiness," That's exactly what I want , thank you . "
happiness,What a nice tie you are wearing ! 
happiness, Thank you.But does it really look all right ? 
happiness, Certainly.It matches your suit perfectly . 
happiness, Then does it go well with my sweater ? 
happiness, Yes.You look very smart today . 
happiness, Thank you very much . 
happiness,"Happy Mother's Day , Mom ! "
happiness, Thanks ! These are beautiful . You shouldn't have ! 
happiness, Of course I should have ! You certainly deserve them ! You put up with all of us . 
happiness," I forgot what I put up with . In that case , I do deserve these flowers . "
happiness, That sounds easy enough . 
happiness," Sure . Once you get the hang of it , it ’ s a piece of cake ! It ’ s nothing to worry about . "
happiness, Great . I have also been thinking of getting one . Do you think you could ask Jane to have a quiet word with Margaret ? My birthday is not that far away . 
happiness,Mumm . Those burgers smell great . It's perfect day for a barbecue . 
happiness," It sure is . I'm glad it didn't rain . My name's Mike Gates , by the way . "
happiness," Oh , hi ! I'm Barbara Johnson . Nice to meet you . "
happiness, I'm sorry . What's your name again ? 
happiness," Barbara . But please , just call me Barb . "
happiness, So Barb ... what do you do ? 
happiness, I'm studying medicine . 
happiness, At Harvard . What about you ? 
happiness, I'm an engineer at IBM . 
happiness," Oh , are you ? That sounds interesting . "
happiness," Yeah . I like it . Hey , it looks like the food is ready . "
happiness, Good . I'm starving . 
happiness,Wow ! I can't believe I'm standing here ! 
happiness, I'm standing in front of an exquisite work of art ! 
happiness," I've seen it so many times in books , but I never imagined I'd get to see it in person . "
happiness," Maybe so , but do you have any idea how much this one is worth ? "
happiness, About 80 million dollars . 
happiness, cool ! It must be amazing to work at a bar ! 
happiness, really ? It sounds interesting . 
happiness, great . I ’ m looking forward to it . 
happiness,Have you seen that house ? 
happiness," Yes , it looks interesting . "
happiness, You're right . I love it very much . 
happiness, It must be old . 
happiness, At least more than 100 years old . 
happiness, Let's enter it ! 
happiness,"Jim , how was your weekend ? "
happiness, I went to the beach with my friends and had a barbecue there . 
happiness," That sounds like a lot of fun . Did you go swimming , too ? "
happiness, Sure . I think it ’ s a fantastic place to go . 
happiness, I couldn ’ t agree more . That ’ s an ideal place for a vacation . 
happiness, It sure is . 
happiness, I can ’ t wait to go there myself . 
happiness, That sounds like fun . But where can I get clothes that old ? 
happiness, Check out your mom's closet . I'll bet she still has something . 
happiness, Good idea . Can I bring some music from that period too ? 
happiness, That will be great ! Do you have LPs or Cds ? 
happiness, Don't tell me you have a record player ! 
happiness," Yeah , you are right . I must stop complaining and stick to it every day . "
happiness," Yeah ! Where there is a will , there is a way . "
happiness,"I ’ m so excited , mother . Oh , a new baby ! "
happiness, My first grandchild . 
happiness," And my first nephew . He looks a lot like you , mum . He does . "
happiness," Do you think so ? Well , I guess . He does look a lot like me . Oh , he ’ s got Richard ’ s eyes though . "
happiness," Yes , he does have Richard ’ s eyes . The baby even looks like you than Richard does . "
happiness,The music has started . 
happiness, How do you like this waltz ? 
happiness, It's very nice . 
happiness, May I ask you for a dance ? 
happiness, Certainly . 
happiness, You are doing the waltz wonderfully well . 
happiness," Thanks . I'm glad you say so . Oh , the music has stopped . "
happiness, That ’ s right . I have a lot to learn from you . 
happiness, You can ask me any question at any time . 
happiness,I've been chosen to plan the next family reunion . 
happiness, Fun for you ! Do you get to do anything you want ? 
happiness, This is going to be a major production for you ! 
happiness, I liked it . I thought it was great . 
happiness, Yes . I thought it was excellent . Didn't you ? 
happiness," It's a nice cinema , isn't it ? "
happiness," I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff . "
happiness, There is nothing good at the moment.Let ' s do something different.Would you like to go to a concert ? 
happiness," Yes , I'd love to.Here is a good one , Mozart and Beethoven.It ' s on the Festival Hall.Shall we go there ? "
happiness,Do you like flowers ? 
happiness," Of course , I like . "
happiness, What's your favorite flower ? 
happiness, Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . 
happiness, Spring is a lively season . 
happiness, Yes . How about you ? 
happiness, I admire plum blossoms very much . It seems that only it can blossom in the cold winter . 
happiness, You have a perfect taste ! 
happiness, It is the symbol of laughing at hoar frost and fighting with snow . I admire the bravery of plum blossoms . 
happiness," That ’ s a good idea . You should do the same with some music . You might find something you like . Classical music might make you clever , but dance might make you livelier and happier . "
