Emotion,Text
fear,When I get into the tube or the train without paying for the ticket.
fear,"This last may be a source of considerable disquiet and one might not at first see how such obviously ` immoral "" content could be defended as part of a system of morality . "
fear,I had gone to the hospital for my research and got late in reaching home.  I feared that when I reached home there would be a quarrel because of my being late.
fear,"When I have to leave the baby in the carriage and go shopping, I fear that something will happen to the baby."
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
fear,When biking and I felt very bad (problems with heart and respiration).
fear,"Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  "
fear,When I got in jungle where there was a great number of snakes.
fear,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream."
fear,Saw a classmate knocked down by a motorcycle.
fear,"So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned"
fear,I was walking along the passage to my room (very near the anatomy laboratory) and I heard something and felt that there was some thing behind me.  I looked back and there was no one.  I started imagining that maybe it was a corpse.
fear,Sorry I don't live in and I don't need NO MAN as a LEADER (I AM ROYALTY) A KING ALREADY (SELAH)
fear,When I met an elephant in the bush.
fear,I was on my way home when suddenly Gule Wamkulu came from the bush and blocked the road. I was in fear and didn't know what to do.
fear," I don't know . I saw him the first time Tuesday . He was at the cafe . I noticed he was looking at me a lot . Not just the usual looking , but staring. He just kept staring at me . He didn't stop . "
fear,"Playing NOW on Hardest: BYZPO Radio Show Session #17. Tune in, listen and enjoy."
fear,When we got lost in Florence and the coach did not turn up until midnight.  I had no place to go to and there were strange reports at the police station.
fear,A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions.
fear,"Then she remembered his horror when he 'd said , ` Don't tell me you 're a virgin ! "" and her heart closed in on itself like a wounded animal . "
fear,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected."
fear,Strictly avoid frightening ideas 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less”"
fear,I felt afraid just before receiving the question paper of the part II exam.
fear,He turned and saw the waiter bearing down on him with an anxious look on his face . 
fear,Finding out that my health condition may be against my attending university lectures.
fear,This Duke game is going to give me a panic attack and it hasn't even started.. @holldoll2 
fear, Is it gonna hurt ? 
fear,"She started like a frightened cat , and looked up at him wide-eyed . "
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
fear,"One evening I stayed at home all alone. As we lived on the ground floor, I was often afraid of burglers."
fear,"I felt fear once, when the car in which I travelled directed towards the precipice along the road."
fear,Before the exam.
fear,@tonyreilly I will not be attending  today due to severe #shame #hangover. I will send my best wishes though. Love'n'bubbles
fear,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:
fear,"Sitting alone in a quiet room, concetrating on things happening around you. Thoughts come into my mind which make me afraid."
fear,Crossing a street of several ways the cars began to move and I thought that I was going to be trampled.
fear,"When I impregnated a certain girl, I thought that I would be forced to marry her or go to court."
fear,"John 's father came down from Cheltenham to see her , grieving and concerned for her future . "
fear,"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . "
fear,"Some says is #Weakness i think its Something Normal were humans Not Gods , be Scared make mistakes the more Experience the more U Grow"
fear,"One night, walking along a park, I began to think that some roughnecks would appear suddenly with knives and things like that."
fear,Walking in the dark and thinking about ghost stories.
fear,"They do care about others and are concerned about their country 's future . "" "
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
fear,"A rainy day, I was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks.  I somersaulted but had no injuries."
fear,"Aston Villa are having a great run , but they hold no particular horrors for the Norwich players . "
fear,"When I had to give a speech about some historical event, to an audiece of about 200 people my own age whom I did not know."
fear,2 TIX TO TONIGHT'S @OfficialPWG BUT NO FUCKING RIDE!!! FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK
fear,"If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat"
fear,"The week before I entered to army, when we were being selected. During 5 days I had to pass 10 hours a day waiting for the answer, which at last was the worst. The fear of being convoked, of hearing the fated phrase, was constant."
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
fear,"go this season  needs you, the word can not happen w/o you"
fear,Confronted outside a party by some very nasty character - gesturing to a car full of mean-acting friends - felt in danger.
fear,Question: Do you live in a world of or #Love
fear,Floyd Patterson has expressed dismay over the current treatment . 
fear,"Oh , my god . What happened ? Are we dying ? "
fear,water level rising near my home  #Flooding
fear,"I was sleeping when I heard the neighbours screaming, I peeped through the window and saw a thief  trying to enter my neighbour's house."
fear,I got caught shoplifting a package of gummy bears.
fear,"Walking at friday night through Nijmegen, going to a pub or a disco."
fear,I had a cousin whom I loved so much. Unfortunately she passed away suddenly and one time I had a dream in which I was talking to her yet she is dead.
fear,"When your back from a busy day, didnt get to watch the match and than realize I hope I recorded  :| "
fear,"Mr Hamilton said : ` I am deeply concerned at what you have told me and I shall ask for immediate steps to be taken for normal decencies to be observed . "" "
fear,I was brave enough ta b born in da world none
fear,What would you be doing right now if you wasn't afraid... Don't let stop you!!!!
fear,"When I had gone for a boxing tournament which ended at 2 o'clock in the morning.  I was alone on my way back, and I could hear the barking of the dogs, the nocturnal animals and the sound of my     own footsteps.  There had been a rumour  circulating that there were ghosts in that area."
fear, Hello ? Can you help me ? My computer ! Oh man ... 
fear,I am afraid of my academic results as I will face several problems.  I am scared of my limitations and the unlimited problems and I do not know how to cope with them.
fear,Ahhhh!!! I'm worried about the dentist why did I put it off so long!! 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
fear,"For Swift , there is a connection between cosmetics and prostitution ; the carefully assembled exterior often conceals both physical horror and moral contamination . "
fear,I was afraid to walk through the forest one day when I dropped off the bus around 6.30 pm.
