Emotion,Text
neutral, There are tons of other paintings that I think are better . 
neutral, Yes . 
neutral, Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . 
neutral, Why ? 
neutral, Over there . 
neutral," Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks . "
neutral, Why ? 
neutral, Why ? 
neutral, Make it 4 
neutral, Jim ! 
neutral, So easy . 
neutral, Exactly . 
neutral, It must be locked . 
neutral," Don't be so irritable . I just don't understand the program , that's all . "
neutral, Of course . 
neutral," I can try , but knowing Margaret she will see through that immediately . "
neutral, Next week . 
neutral," The tall one ? Sure , that's Drive , he works with Lily . "
neutral, What is it ? 
neutral, About what ? 
neutral, Definitely . 
neutral, How do you know whether you should hit the solid or the striped one ? 
neutral,"Hi Bill , I saw your grandma yesterday . "
neutral, Wow ! 
neutral,:) @thomestifanos security is a very juicy business. 
neutral, I see . 
neutral," Well , I like playing the violin . "
neutral, What about ? 
neutral, How are you feeling ?
neutral, Goodbye . 
neutral,"Please excuse me , but I really have to be going . "
neutral, You come dressed in anything from the sixties . 
neutral," Oh , we never speak Spanish in class ! Miss.Parker speaks to us only in English . "
neutral,I've moved . 
neutral, What ? 
neutral," No , how much is it worth ? "
neutral,Are you telling us a lie again ? 
neutral, How come ? 
neutral,Can you study with the radio on ? 
neutral," If I were you , I would put the whole matter on the table . "
neutral, And ? 
neutral," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
neutral, Hi . 
neutral, It'll begin at nine o'clock sharp . 
neutral,Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? 
neutral, No wonder . 
neutral,What do you like to do in your spare time ? 
neutral, What is it ? 
neutral, Ha ! It's not like you've ever been one to beat around the bush . 
neutral," Eleven , ... "
neutral, My phone ? 
neutral," I think so.Yes , they get along so well . "
neutral, Follow me . 
neutral, Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . 
neutral," On the contrary , very exciting . "
neutral, Thanks . 
neutral, oh . 
neutral,Who is it ? 
neutral, $ 50 . 
neutral, What are you talking about ? Let me see that ... What are horoscopes ? 
neutral," you mean you got working experience , right ? "
neutral, Sorry . How far is the museum ? 
neutral, Haven't you heard that he is in prison ? 
neutral, You can say that again ! It's much more modern than people imagine . Where are you from ? 
neutral, I said it's a lovely day . Why don't we go for a walk ? 
neutral, What is it ? 
neutral, When ? 
neutral," Yes , The SARS epidemic is not under effective control yet . So I'd better not risk it . "
neutral, And later ? 
neutral,"OK , Hello ! "
neutral," All right , I will explain it to you later on . Now scram . "
neutral, Of course . 
neutral, I agree . Are there any commercials on the TV ? 
neutral, I won't . 
neutral," That ’ s right , we bought it the same day we came on the market . "
neutral," Uh , yes . "
neutral," Oh no , Ari . I didn ’ t mean for you to pay for me when I invited you to go tonight . Let ’ s go Dutch . I ’ ll pay my own way . I insist . "
neutral, Colorado . 
neutral, Everyone from school . 
neutral, Ah ... 
neutral, So you are . 
neutral, Frightened ? You must be joking . 
neutral,How is he ? 
neutral, That's all right . But why were you so rude to me at lunch . 
neutral, What ? 
neutral, What ? 
neutral," I can see that you are trying , but where do you think you could improve ? "
neutral, Fine ! 
neutral, Is he in ? 
neutral, Jog ? 
neutral," Oh , that is a shame . He is really hard working . "
neutral, Dream on ! 
neutral, Exactly . 
neutral,How can I tell her about this ? 
neutral, I really like the straight legs . 
neutral,How's work ? 
neutral, I only buy them if they look particularly interesting . I don ’ t buy any regularly . 
neutral, I don ’ t believe that . 
neutral, absolutely . 
neutral, It's a very popular game in America . 
neutral, OK . 
neutral, Pardon ? 
neutral, Have a try . 
neutral," Oh , I see . "
neutral, And that ? 
neutral, How can you live without job in the future ? 
neutral," yes , I was just wondering how you and your roommate were planning on coming to my place . "
neutral, I missed a few classes ; I need to make sure I come to school on a regular basis . 
neutral, Why ? 
neutral, Come on . 
neutral, Now what ? 
neutral, Five . 
neutral, How come ? 
neutral, How much ? 
neutral, Not bad . 
neutral, I'll try . 
neutral, When ? 
neutral, of course . Is the dinner still on ? 
neutral,Do you want black or white coffee ? 
neutral, how are you feeling today?
neutral, I guess . 
neutral, Thank you . 
neutral," I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "
neutral, Absolutely . 
neutral," No , sir . "
neutral,"Zina , can I talk to you about something personal ? "
neutral, Thank you . 
neutral, She can't answer you . 
neutral, how did your day go ?
neutral, How ? 
neutral, Spring . 
neutral,"Dad , why are you taping the windows ? "
neutral, crazy ! 
neutral," I am not sure about the name of the film , but I know it's a romantic one . "
neutral, Get in . 
neutral,"Hi , Mary . You look pale today . What's the matter with you ? "
neutral," It was nice to see you , too.And please give my regards to Mrs.Robbins . "
neutral, Ok . 
neutral,Good game ? 
neutral, Why not ? 
neutral, Thank you . 
neutral, He ’ ll finish writing in a minute . 
neutral, I see . 
neutral," Yes , I do . "
neutral," I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . "
neutral, 12 
neutral, Bye . 
neutral, It starts at 8 
neutral, sounds good ! Let's go ! 
neutral, how was your day ?
neutral, Hehe .. sure 
neutral, you bet it ! 
neutral, like what ? 
neutral, Okay . 
neutral," Oh , sure . "
neutral, Yes . Don ’ t you think he should be pitied rather than accused ? 
neutral, Thank you . 
neutral, What is a sixties party ? 
neutral," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
neutral, I am still waiting for their call . 
neutral, Yup . 
neutral, I see . 
neutral, Certainly . 
neutral, How come ? 
neutral," Yes , of course.It was nice to see you . "
neutral," 1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower . "
neutral, What ’ s up ? 
neutral," Well , I think personal development is much more important than simply having a superior living environment . "
neutral, Wow ! 
neutral," Oh , no . "
neutral," She is as meek as a lamb . She never goes against anyone or anything . She's as good as gold , you know ? "
neutral,"Hey , guys ! "
neutral, can you explain me your feelings ?
neutral," Yes , I do . I think that science is making us wiser . What do you think ? "
neutral," Use the stairs , never the elevator . "
neutral," Oh , that's new to me . So what's on everyday ? "
neutral, How much ? 
neutral, Olympus . 
neutral, How was it ? 
neutral,"Hi , Walter ! "
neutral, He quit 
neutral, She must be deaf . 
neutral, I guess . 
neutral, Black Rose . 
neutral, Thirty minutes in gym at lunch time . 
neutral, You got it . 
neutral,How are you ?
neutral, I think so . 
neutral, In what ? 
neutral, How often ? 
neutral,Hello ? 
neutral, About what ? 
neutral, Is that so ? 
neutral," Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! "
neutral, Huh ? 
neutral, Yes . 
neutral,Do you love me ?
neutral, At five . 
neutral," Yeas , when will you buy a house ? "
neutral, If only I could join it ! 
neutral, Not funny . 
neutral, Hi honey ! What ’ s wrong ? Why do you have that look on your face ? 
neutral," $ 5,900 . "
neutral, Yes . 
neutral, Why not ? 
neutral, So ? 
neutral, Yeah . 
neutral, Any more ? 
neutral, Poor guy . 
neutral," Oh , I see . "
neutral," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
neutral,are you in love with me ?
neutral, Is it ? 
neutral," I want to have a picnic with my friends , Mum . "
neutral, Who is he marring ? 
neutral, By plane . 
neutral, Of course . 
neutral, This one . 
neutral, Thank you . 
neutral, Can you tell me why you like it ? 
neutral, And Lisa . 
neutral," no , why ? "
neutral," Well , the air line lost my luggage on the return flight and then I lost my carry on bag when I was tackling with the officers in charge . I left the airport three hours later than I expected and then I was caught in a traffic jam . When I finally got home , I was totally exhausted . But I found the elevator was out of service due to a blackout . "
neutral,How are you feeling
neutral, Medium . 
neutral, Bye ! 
neutral, OK . 
neutral,"I want to improve my handwriting , and I've practiced it for several weeks , but nothing happened . You see , my handwriting is still bad . "
neutral, go ahead . 
neutral, So are you . 
neutral, I'll be there on time . 
neutral,"Hi , Fanny . "
neutral, Yeah . 
neutral, I ’ m awfully sorry to hear that . I ’ ll turn to it right away . 
neutral, Why ? 
neutral, Yes . 
neutral, No problem . 
neutral, What ? 
neutral,tell me something about you
neutral, right now ? 
neutral, What ? 
neutral, I hope so . 
neutral, Like what ? 
neutral, I'm going to graduate this summer . 
neutral,Have you got any hobbies ? 
neutral, Promise ? 
neutral," I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "
neutral," Is that the large , white building ? "
neutral,Tell me something about yourself
neutral,"You'v been work here for nearly a month , how do you feel about the job ? "
neutral, Alright . 
neutral,"Hi , Kenji . "
neutral," it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
neutral,"Hi, can you tell me something about yourself?"
neutral, And ? 
neutral, Why not ? 
neutral,"Hey, how are you today?"
neutral, You got me . 
neutral, Why not ? 
neutral,It is high time you have a talk with him . That may help clear the mists . 
neutral, And then ? 
neutral, Go ahead . 
neutral, This one ? 
neutral," Well , I feel a little tired . "
neutral," You won't play online games full of violence , will you ? "
neutral, I hope so . 
neutral,"Hi , Charles . What's the matter ? "
neutral, What ? 
neutral, The beauty under the tree ? 
neutral, Thanks for stopping by ! 
neutral, Nothing smells a rat . I told you that he's an all-right guy . 
neutral, Sink ? 
neutral, Is it nice ? 
neutral," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
neutral," Last year he helped me out of trouble , too . "
neutral,Jack wonders whether Linda likes him or not . 
neutral, Yes . 
neutral, Thank you . 
neutral, Terrible . 
neutral," Oh , is it ? "
neutral," He said not to bother coming back . And I said , fine , I won't . "
neutral, It's hot . 
neutral, Okay . 
neutral,"Hi , Kate . "
neutral, OK . 
neutral, Late night ? 
neutral, Yes ? 
neutral, How much ? 
neutral, definitely . 
neutral, I will be hanged if I lying . 
neutral, I'm planning to return to China after graduation . 
neutral, But what about settling down to start a family ? Doesn't anyone want to get married any more ? 
neutral, Pardon ? 
neutral," Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . "
neutral, I know . I've even worked up a sweat . 
neutral, Tomorrow . 
neutral, How's that ? 
neutral, Oh where was that ? 
neutral, Wow . 
neutral, why ? 
neutral, Why ? 
neutral, The radio has too many comercials . 
neutral, Thank you . I suppose I should go to see a doctor . 
neutral, Yes . 
neutral, No problem . 
neutral,"Hello , Tom ! "
neutral, 92 . 
neutral, Here it is . 
neutral, Yeah . 
neutral, Yes . 
neutral,"Sam , I am so sorry . It was your birthday yesterday and I completely forgot about it . "
neutral, No problem . 
neutral, Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
neutral, Why ? 
neutral, Yeah . 
neutral, are you very close to your first-cousins ? 
neutral, not yet . 
neutral, What's the route ? 
neutral," They ’ re fine , but I can ’ t watch a movie without popcorn . "
neutral, The Rockets . 
neutral," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
neutral,I have a real problem when I meet people . 
neutral, Yes . 
neutral, Certainly . 
neutral," Yes , I have nothing to do . "
