Emotion,Text
sadness,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!
sadness,"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor"
sadness,A .500 season is all I'm looking for at this point. #depressing #royals
sadness,"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good."
sadness,All I want to do is watch some netflix but I am stuck here in class. #depressing
sadness,Buddha doesn't possess enough power to deliver you from your affliction!
sadness,"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family."
sadness,"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery"
sadness,"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!"
sadness,watching this uni reveal is so depressing i miss stingrays :(
sadness,Public products: high downhearted price tag consumer survey sum and substance: OVth
sadness,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life
sadness,@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad
sadness,@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany 
sadness,“Dyslexia is the affliction of a frozen genius.”― Stephen Richards
sadness,@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂
sadness,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **"
sadness,@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy
sadness,I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life
sadness,Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim
sadness,Season 3 and Charlie is still a prick! #lost
sadness,@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.
sadness,If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead
sadness,"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --"
sadness,"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version"
sadness,SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober
sadness,"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF"
sadness,This shit hurting my heart 😪 that's how serious it is .
sadness,"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams."
sadness,@AnjiDunlap droop in leggings? Are they wearing XXXL?
sadness,@trashcami this cured my depression
sadness,This world has some serious issues we should all go to therapy
sadness,If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious
sadness,"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed"
sadness,"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)"
sadness,It feel like we lost a family member🙄😂
sadness,My life went from happy to unhappy..
sadness,you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.
sadness,On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober
sadness,"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues"
sadness,"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay "
sadness,A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat
sadness,Don't depress yourself by comparing yourself. No comparisons.
sadness,Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues
sadness,Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz 
sadness,"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things."
sadness,@FFBren @CDCarter13 included for maximum #sadness
sadness,@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester
sadness,Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭
sadness,"@Eeevah14 don't I know it, try not to fret my sweet little pupper"
sadness,im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary
sadness,"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!"
sadness,"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?"
sadness,HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri
sadness,Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC
sadness,I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism
sadness,"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?"
sadness,amateur author Twitter might be the most depressing thing I've ever seen
sadness,yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?
sadness,"We are about a little over an hour away! We will arrive soon, do not fret!"
sadness,Should of stayed in Dubai 😞
sadness,Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv
sadness,It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.
sadness,aaahhhh! a little @OtisRedding to soothe the soul. #music 
sadness,aaahhhh! a little @OtisRedding to soothe the soul. #music #blues
sadness,Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan
sadness,and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah'
sadness,@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.
sadness,"340:892 All with weary task fordone.\nNow the wasted brands do glow,\nWhilst the scritch-owl, scritching loud,\n#AMNDBots"
sadness,Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭
sadness,"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy"
sadness,If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities
sadness,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5"
sadness,"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster"
sadness,My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher
sadness,My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!!  #TerenceCrutcher
sadness,HartRamsey'sUPLIFT If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source.Look to the LORD!
sadness,@AmontanaW I nearly dropped my phone into the sink HAHAHAHA
sadness,Whenever I'm feeling sad I will listen to monsta x and hug my teddy bear and I always feel better
sadness,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍
sadness,"@British_Airways In your Concorde Lounge in Terminal 7 JFK. So saddened to have to say, service so far is dismal. Don't expect a reply."
sadness,"#Facebook is #depressing without even being there. Two apps want it for logging in, I have missed at least two interesting #events and they"
sadness,"BTW, offended policy wonks, H only had one real proposal: eliminate subminimum wage. Probably good, but might discourage hiring of disabled."
sadness,"I believe the work I do is meaningful; my clients would agree but at the end of the day, I feel like a pawn, lost in this chaotic world."
sadness,Refuse to let myself get discouraged.
sadness,"@yukkikuma_cos cheer up, luv. your face is alot prettier when you're not frowning. &lt;3"
sadness,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat"
sadness,Pro-lifers are condemning #MenForChoice - but I haven't seen any of you criticize the dismal American foster care/adoption system.
sadness,I love having such a big family. There's never a dull moment in my house 😂
sadness,@The40Bar See you all October 8th. @WreckinSO is ready to tear it up #keeptalkin #wreckinso #the40 #brandonmanitoba #country #rock #blues
sadness,r U scared to present in front of the class? severe anxiety... whats That r u sad sometimes?? go get ur depression checked out IMEDIATELY!!!
sadness,What a grim night #GetTheFireLit 🔥
sadness,@BitcoinBelle @pamelawjd Start mournful then kick into major key in last verse where good guys win? (Or just change words in existing song?)
sadness,@xaninaany I'm so serious DM me I'll tell u more
sadness,Time for some despair #SDR3 #despair #fuckthisanime
sadness,"@leighsteinberg April 25th, 2010 for me. Keep up the good work!! #sober #prouder"
sadness,"but losing these games are the worst, you end up feeling a mixture of anger and sadness and shame and anxiety and it lasts for days"
sadness,@CCGaryRoberts community policing!!!! What's that?? #lost
sadness,"It's easy to #fall #asleep in class, but hard to in bed. #True #sober #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet"
sadness,"It's easy to #fall #asleep in class, but hard to in bed. #True  #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet"
sadness,😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression
sadness,@Beakmoo hmmmm...you may have a point... I thought Twitter had got dull 😂. LAMINATION
sadness,I just got asked to hoco over instagram dm bc someone lost a bet. Love the maturity of the people in my grade!!!!
sadness,@JensenAckles @jarpad whatever Sam is holding on your tee looks like it's got a droop on 😂
sadness,When the surfer girl and i  don't speak the same language anymore.. #justsaying #sadness
sadness,"@NikeSupport ok, thats it. After 2 weeks not being able to sign in, time to move on &amp; find another app. I will strongly discourage NikeRun"
sadness,@AriZernial @NesquikMills don't let him discourage you Z! That's one of the best ideas yet!
sadness,Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad
sadness,Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. 
