Emotion,Text
surprise, Really ? I think that's impossible ! 
surprise," Oh , yeah ? Which team ? "
surprise," Really ? I think we play you guys next week . Well , I have to go to practice . See you later . "
surprise, Is he really ? 
surprise, Really ? I hope I can have a chance to taste it . Don't forget to tell me . 
surprise, That is truly amazing ! 
surprise," Really ? Wow , I don't have to go to school tomorrow . "
surprise, A crazy language ? Why do you say that ? 
surprise, It's amazing . 
surprise, What ? Beg your pardon . 
surprise, I just cann't believe my ears ! 
surprise, Really ? Are you sure ? 
surprise, Really ? 
surprise," Really ? Well , what time does it start ? "
surprise, What ? What did you buy ? 
surprise, I can't believe how stupid you are . Why didn't you open the box ? 
surprise," Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . "
surprise, Really ? That's great ! I know that your company has a lot of clients in France . 
surprise, All-right guy ? All right . Let's talk about something else instead . 
surprise, Really ? Are you going to introduce us ? 
surprise," Was I ? Sorry , I didn ’ t mean to be . I do apologize . "
surprise, Really ? Why ? 
surprise," Oh , dear . "
surprise, You did ? How ? Did you wear red underwear again this year ? 
surprise, What ? ! You did that ? ? ! ! ! 
surprise, What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! 
surprise," Really ? well , ok , you're welcome . "
surprise," really ? I never would have guessed . The criminals must only come out in the evenings , because I've never noticed anything strange when I've been at your house in the daytime . "
surprise, What ? Beg your pardon . 
surprise, I just cann't believe my ears ! 
surprise, Really ? Where ? 
surprise, Whoa . 
surprise,"hey , Maris , are you a part-timer ? "
surprise," No , it can't be . Really ? Who ? "
surprise," Oh , my God ! John , I didn ’ t know you are religious . You just look like a scientific kook , like Leonard in the Big Bang Theory . "
surprise, Really ? 
surprise, How come ? I mean why most of them were religious people ? 
surprise, University ? Why ? You asked me last year . 
surprise, God save me ! Is there anything wrong with you ? Didn't I tell you ? 
surprise, A crazy language ? Why do you say that ? 
surprise, A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . 
surprise," Wow , you sound very professional . "
surprise, Really ? What was the matter ? 
surprise, Really ? Perhaps I should listen to classical music often . I heard that listening to classical music is helpful in reducing stress . 
surprise, Really ? I thought his wife couldn ’ t have a baby . 
surprise," Oh , what a coincidence ! I bet Bobby must be very happy about it . He likes children and always wants a child of his own . "
surprise," Oh ! You mean she doesn ’ t have to work now ? It ’ s hard for young parents not to overreact , isn ’ t it ? "
surprise," Wow , that much ? Don't they have any public courses ? "
surprise," Hey , that ’ s not the girl with pink hair , is it ? The girl I saw with Jack yesterday . "
surprise," Oh , yeah ? "
surprise, Really ? And Chris ? She was a very pretty little girl . 
surprise, Really ? Where does he live now ? 
surprise, Really ? Where does he fly ? Does he fly to other countries ? 
surprise, Today ? 
surprise, really ? 
surprise,Kathy ! How are you ? It's been ages ! What are you doing these days ? 
surprise, You're kidding ! You've always hated cooking ! 
surprise," I still can't believe it ! So , did you go to cooking school or something ? "
surprise, Really ? How long did you stay there ? 
surprise, Hawaii ? My dream honeymoon destination ? 
surprise, Really ? That's a straws in the wind . 
surprise, Did you ? And what did you study ? 
surprise, Really ? Do you like it ? 
surprise, Really ! What's the matter with him ? 
surprise, Angry ? Why would I be ? 
surprise, didn't they announce that our flight was delayed ? 
surprise," Are you sure ? He is quite young , isn't he ? "
surprise, Really ? He looks so young . 
surprise," What ? ! Isn't there a law against that , I think there is some legislation that requires employers to give their employees a fair rate of wages . You should know your rights ! If you are putting in so many hours , they should give you some kind of compensation . "
surprise, why ? It ’ s unfair . You can learn a lot from it . 
surprise, Oh really ? It ’ ll be nice and warm there . Have you been there before ? 
surprise, Why ? You make me confused . 
surprise, Dave then ? Dave is a spy for WebTracker ? You can't be serious . 
surprise,"Hello , Zhang lin ! Fancy meeting you here ! "
surprise," Hi , Lin Tao . I have't seen you for some time . "
surprise, Are you kidding ? Don't you know I can't swim ? 
surprise, Really ? I am glad to meet you . 
surprise,What a police officer ! 
surprise, I ’ Ve never seem such a scene either except in films . 
surprise," It ’ s really unimaginable . The police officer screamed at the driver and used bad language , but the driver took it on the chin . "
surprise, Really ? So your city does have some old history after all . 
surprise, You can ’ t be serious ! 
surprise,"What a surprise meeting you here , Landy . "
surprise, Really ? How long will your holiday last ? 
surprise, Really ? What happened ? 
surprise, I had no idea you were such an environmentalist before ! 
surprise, Really ? What else have you discovered ? 
surprise, Why ! what happened ? 
surprise, Don't you have a garage ? 
surprise, Really ? Congratulations ! 
surprise, That sounds quite big ! How many people live there ? 
surprise,The answer is zero ! What a let-down ! 
surprise, He can repair cares ? I cannot believe it . 
surprise, Really ? It was on in 1994 for the first time . And it is really a classic . 
surprise," You know , it also won 6 Oscar awards in 1995 . Unbelievable ! "
surprise," Really ? You don ’ t look very Chinese to me , if you don ’ t mind me saying so . "
surprise, Really ? That ’ s great ! Do you speak some Spanish ? 
surprise, Anything ? Do you really believe that we can do anything ? 
surprise, Really ? Doesn ’ t every teacher have a teacher ’ s pet ? 
surprise, Why on earth would she do that ? You mean that she intentionally did not eat any food for days ? That's crazy ! 
surprise, I can't believe that there are girls who are willing to do that to their bodies . And all for a certain look . 
surprise," Oh , really ? So , Spain is through to the next round ? "
surprise, Really ? Is he married ? 
surprise, Got it ! Wow is that the weight you are lifting ? My goodness that ’ s a lot of weight ! 
surprise, How on earth can you miss several buses ? 
surprise,Susan ? What brings you here today ? 
surprise, Really ? So what ’ s the news ? 
surprise, Why is that ? It is called real art . 
surprise, What of it ? 
surprise, 25 cents a day ? 
surprise, That ’ s expensive . 
surprise, You ’ re kidding . It can ’ t be true . 
surprise, Really ? I ’ m surprised . 
surprise," Oh , it's unbelievable ! "
surprise,"Hello , Ann ! Is that you ? "
surprise," Yes , it is . Hi , Tom ! It's a real surprise to see you here . "
surprise,I can ’ t believe it ! 
surprise," Yes , but I bet $ 200 dollars on the Cougars ! "
surprise, I can ’ t believe it ! I thought the Cougars were going to win for sure . 
surprise," 20 to 1 , in favour of the Cougars ! "
surprise, Really ? So your city does have some old history after all . 
surprise, That is truly amazing ! 
surprise, Really ? How many collections do you have ? 
surprise," Are you serious ? You studied mathematics at college for four years , and now you have a job working with your hands ! "
surprise, What am I doing ? What am I doing ? Don ’ t you know what day it is ? 
surprise, What ? 
surprise,What ? How could you forget to reserve the concert tickets ? 
surprise," Oh , no . What kind of trouble ? "
surprise,My goodness ! What happened ? You have blood on your face . 
surprise, How could you have the heart to kill it ? We only have one ! 
surprise," Yes , it is . Hi , Tom ! It's a real surprise to see you here . "
surprise, Really ? I can't believe it . It's like a dream come true . I never expected that I would win The Nobel Prize ! 
surprise, Pardon ? 
surprise, University ? Why ? You asked me last year . 
surprise, God save me ! Is there anything wrong with you ? Didn't I tell you ? 
surprise, Really ? 
surprise, Wow ! It's a trivia game all about the Academy Awards . 
surprise, Really ? I was quite good at the hurdles and the discus . 
surprise," It ’ s great . Although his father didn ’ t agree with that , Tom went through with it . "
surprise, You are crazy . Gambling is against my principles . 
surprise, I had no idea you were such as environmentalist before ! 
surprise, Why tell me ? She has nothing to do with me ! 
surprise, you did ? I thought you must feel right at home here as we get as many fast food restaurants as you do in America . 
surprise, seriously ? 
surprise, No kidding ? 
surprise, Are you kidding ? 
surprise,"I don ’ t understand why you always look so happy , so energetic . It seems like you ’ Ve got good news everyday . "
surprise, Really ? Do I look happy all the time ? 
surprise,Can you believe that Susan got married ? 
surprise, Really ? I remember she said if she would remain single . Is the man very rich ? 
surprise, No . That ’ s what is surprising me . 
surprise, A coffee grinder ? 
surprise, Really ? I will try again . 
surprise, 500 feet ! I would never be able to do that . 
surprise, Forgotten about it ? How could you ? 
surprise,Linda ? Is that you ? I haven't seen you in ages ! 
surprise, Hi George ! It's good to see you ! 
surprise, Really ? Tell me about it . What's it like ? 
surprise, Really ? It looks so nice . 
surprise, Why ? What's wrong ? 
surprise, Really ? Their songs are very popular all round Asia now . I am also a big fan of theirs . 
surprise, Why ? Did tom pop the question ? 
surprise, the Canadian rock singer ? But I heard you had a part-time job yesterday . How did you see her ? 
surprise, What ? Again ? Why do you keep running out of money ? 
surprise, Are you crying ? 
surprise," My invitation ? No , I haven't . My invitation to what ? "
surprise," Oh , they have ? I didn't know . I haven't seen Tom lately . "
surprise," Oh , yeah ? "
surprise, Oh really ? What did you do ? 
surprise, Me ? Why me ? Why not you ? 
surprise, Really ? What is there to do after we graduate ? 
surprise,Wow ! You look like a drowned rat ! Didn't you know there is a thunder-storm today ? 
surprise," Oh , how were you saved finally ? "
surprise, Teachers ? I didn't think that they would be racist at all . 
surprise, Really ? Good for you . 
surprise," Oh , that is a shame . He is really hard working . "
surprise, You have a girlfriend in Thailand ? Interesting . How come I have never heard of that ? 
surprise,Hi ! Susan ! I haven't seen you for ages ! 
surprise, Really ? 
surprise, Huh ? 
surprise," It is ? Oh , that ’ s nice . "
surprise, Huh ? Didn ’ t you know ? Aren ’ t you excited ? 
surprise, Forgotten about it ? How could you ? 
surprise, Really ? Can I join it ? 
surprise," Really , she's so pretty . "
surprise, why ? What happened ? 
surprise, Why ? 
surprise, Why ? What's eating her ? 
surprise," What ? Not my Dad , I hope ! ? "
surprise, No kidding ! Jack is such a log ! He's never dated a girl . 
surprise, Really ? Why ? 
surprise," Oh , it's unbelievable . She is such a chain smoker . "
surprise," Never ! He ’ s over 80 , isn ’ t he ? "
surprise, Good gracious ! Are you sure ? 
surprise, Is she really ? 
surprise," Really ? Quite a woman , isn ’ t she ? "
surprise, really ? What do the companies do that for ? 
surprise," It doesn ’ t matter . Oh , God , I have only four dollars in my wallet . Is that possible for me to buy one ? "
surprise, A receipt ? 
surprise, Are you kidding ? The Yen is in worse shape than the Dollar ! 
surprise, Are you kidding ? Don't you see many people over there ? Just on your right . 
surprise," Really ? I've already opened this one.Say , this is sweater , and it's just what I need to go with my new suit.Thank you ever so much . "
surprise, That's incredible ! She has such a sharp figure . 
surprise, How gross ! I can ’ t handle people like that . Does he at least give you a hand around the house ? 
surprise, You think he might stay even longer ? ! 
surprise, Is that right ? I hear all these horror stories of internet business crashing because there is not enough of a customer base yet . How can you be sure your idea will cash in ? 
surprise," Oh , no ! Why ? I was looking forward to seeing you at my new place . "
surprise, So I have to pay 25 cents for each day the books are late ? 
surprise, Really ? He is my type . 
surprise, Why ? 
surprise, Self-service ? 
surprise, Are you serious ? 
surprise, I can't believe it . My parents never beat me . 
surprise, Really ? What's he been doing ? 
surprise, are you serious ? 
surprise, but why ? Did I do anything wrong ? 
surprise, Really ? What kind of prizes ? 
surprise, A new car ! You're kidding ! 
surprise, Wear red underwear ? ! Does that really work ? Are you going to try it ? 
surprise," Oh , my . What did you do ? "
surprise, You must be joking . Those two ? 
surprise, I can hardly believe it . 
surprise, Really ? Thank you . I am thinking the same thing about you . 
surprise," Oh , you wrote them all by yourself . That's amazing ! Are you a regular singer here ? "
surprise," Wow , that's unbelievable ! You play so well , but you've never been to a real teacher . You will definitely be famous in the near future . "
surprise, Really ? You only review your lessons in one month ? Does it work ? 
surprise," Wow , and all the key points are included in them ? You're so smart ! "
surprise, Really ? How much does it cost to fly to Rome ? 
surprise, Really ? Is that why you wanted to come to the play ? 
surprise, Football ? Sounds dangerous . Maybe I'll just be a cheerleader . 
surprise, Really ? How do you get the chance ? 
surprise, Really ? I hope we will do much better under her guidance . 
surprise, Frightened ? You must be joking ! 
surprise, Again ? The area around the park is too dark at night . There should be more lights there . 
surprise,I can't even imagine you snorkeling ! 
surprise, Wow ! 
surprise, They're glad ? ! 
surprise, You are kidding . 
surprise, really ? How did you do that ? 
surprise, Really ? How could you do that ? Don't you save every couple minutes ? 
surprise, Really ? I haven't heard of it . 
surprise," Really ? Then I'm really lucky . Oh , it's spewing fireworks from its huge mouth . "
surprise,He is so kind . I couldn ’ t believe he murdered his wife . 
surprise, What ? Really ? I don ’ t really want to have to buy a new phone . 
surprise, Really ? What ’ s the catch ? 
surprise, You are kidding ! He just broke up with Ann . 
surprise, Really ? In New Berlin ? 
surprise, Why am I always the last to know these things ? 
surprise," Oh , Yes ? "
surprise, Really ! You live in Taiwan ! 
surprise,"Morning , Bob . Fancy meeting you here ! "
surprise," Morning , Jenny . Haven't seen you for ages ! "
surprise, You did give me a surprise . How have you been ? 
surprise, Really ? That's fantastic ! Will you get a chance to do any writing ? 
surprise," You've got to be joking ! It's the teacher's right to say anything wants , and if she saw Myra cheating , she certainly had the right to say so . "
surprise, What ? But it is my favorite piece of clothing . 
surprise, You mean get married now ? On the plane ? 
surprise," I don't know what to say , Jack ! "
surprise, Really ? I can't believe it . 
surprise, Really ? Congratulations . 
surprise, Really ? What's the series about ? 
surprise, really ? that's interesting ! 
surprise, Really ? This is a beautiful town . 
surprise," Really ? What kind ? A girl left this word to me , and I thought she was in Hong Kong . "
