Emotion,Text
anger,fuckin'm transtelecom
anger,Working   But it's Fridaaaayyyyy
anger,Packing  I don't like it..
anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
anger,@LouGagliardi  damned hordies
anger,"@bcollinstattoo yes, boo for soar throats and earaches!"
anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
anger,lost all my files since high school.
anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
anger,i never knew a dentention was so hard 2 get
anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
anger,"@LeahMul awh, thats not good,   get better soon!"
anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
anger,Confuzzled
anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
anger,@eboogiee smh Your whin with that comment
anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
anger,@mashable Link to ff &quot;how it works&quot; is broke!
anger,aaaaaaaaaaa McFly
anger,Shout out to my moms for wakin me up so prematurely! Preciate it
anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
anger,@BigCatJared   What did I do to you!  sheesh
anger,studying for this bullshit econ test
anger,Internet is painfully slow today
anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
anger,MOtherfuck QW
anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
anger,Very bad things.......I need to stop thinking!
anger,@anz_rocks19  i have to break the twitterparty... im off home soon
anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
anger,#twitterfails fucking hard right now...this is annoying
anger,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
anger,bout to go to work with a wicked sunburn on the chest.
anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
anger,@tommcfly Why do you not respond me?
anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
anger,People at work are stressing me out.
anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
anger,Wish my headache/almost migraine would go away!
anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
anger,My throat is on fire
anger,sam and sean are teasing me saying they are gonna get wings without me
anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
anger,@ACMcWhale I always feel guilty about it
anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
anger,at famous dave's with my mom. so hungry.
anger,"@maddsie Thanks, none close to me."
anger,I am beginning to think sun blcok is a haox.
anger,Just found out my parents are putting down my dog tomorrow morning. Upset
anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
anger,FUCK. slept in
anger,"my sisters fucking pc, just blued screened me"
anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
anger,too sick for rigging tomorrow.
anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
anger,finally home for once after a dope ass week
anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
anger,@paulmoxham everything is your fault moxy...everything.   x
anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
anger,is downloading new fonts . again  http://plurk.com/p/rplkr
anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
anger,knows its all going to sort itself out
anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
anger,@Buddy021193 i hear you.. it pisses me off haha
anger,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots
anger,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
anger,OIL IS CHANGED!  And I am filthy.    But it's an accomplished filthy.
anger,@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.
anger,@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is
anger,Just sittin here waitin for my coffee to be full grown on farm town before going to bed
anger,my gawwddd ! 6 headshotss inna row? im on fyaaahhh!
anger,I'm way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo
anger,@NerdIndian Take that back. I am insulted.
anger,@anieszkaa haha i did a ltiitle bit yesterday and ive been out all day  so i think ima chick an allnighter  hahaha NOT COOL
anger,@johncmayer you are one of my favorite musicians/artists ever!! Please keep up the great work John
