Emotion,Text
boredom,i'm so tired
boredom,Waiting in line @ tryst
boredom,why did i agree to work a double shift
boredom,"is really, really bored... I guess I will go to bed"
boredom,So deep its priecing my soul
boredom,"THIS TWITTER SHIT BORES ME, NOW I C Y I HAVEN'T BEEN ON HERE IN A MONTH"
boredom,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out
boredom,Tweeting from the tarmac at Cork Airport. Delayed
boredom,Feeling nauseous and can't sleep.
boredom,Friday tubes at work are slow..
boredom,omg i realy can't sleep ughh
boredom,Gogol Bordello &lt; par.    Prolly not even in the top 10 of GB shows I've seen.   Perhaps some old fashioned Civilization II will help?
boredom,@Natalija been there  sucks like hell.
boredom,is really ultra bored
boredom,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!"
boredom,My brother just woke me up to help him with his homework. I'm not happy
boredom,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2
boredom,"Finishing the video. Fuck me, it's so long"
boredom,"don't know what to do today.  amazing weather and i'm sitting here, great."
boredom,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details
boredom,fo shizzle. . . i'm bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.
boredom,Again documentation day
boredom,why im not sleeping  !!
boredom,i think that studying has really started taking its toll..
boredom,im bored.. RC is goin maintenance
boredom,I need something t do like hello... Im fucking bored now.  um... yeh...
boredom,"is boiling in the office, air con any1 ?"
boredom,Cleaning the old apartment today. Yay...
boredom,@memow what did you think of the finale?  I thought it was kind of a cheap way out
boredom,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes
boredom,trying to finish my ass-ignment.please god help me to finish it
boredom,@MeanMillies boo
boredom,nomatter how much i sleep am still tired
boredom,bored...disgusting weather..bored..sooo bored for my last weekend here
boredom,"i dislike math, but math HATES me"
boredom,Ok super bored... guess no one else it
boredom,I am sooooooo bored in textiles !
boredom,Moving in the rain is not fun. Last day in the Hamptons
boredom,this weekends abouttttto SUCK
boredom,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes
boredom,Youtube isn't working...and I wanted to watch Britains Got Talent.  I'm debating about having a pity party.
boredom,@h269 revising as uni exams are looming
boredom,Its seriously quiet and lonely here without Bunny
boredom,@KatherineLunt Really bored tonight though  Your book I think (Y) xxxxx
boredom,"Just got home from the bank, the teller was definitely hitting on me. Not interested."
boredom,The gigantic initial inertial to get oneself to work after a deadline
boredom,Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy
boredom,I want to go to my home!!! D: I don't like stay in the work all alone
boredom,Can't believe how gorgeous the weather has been today &amp; I've had to spend it at work!
