Emotion,Text
empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
empty,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
empty,@djmicdamn hey yu lil fucker i textd yu
empty,@softtouchme just answered you- never learned how to write in French- just basic stuff-
empty,Have a headache  I'm going to bed. Goodnight!
empty,@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
empty,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"
empty,@tarng Trudy's off Burnet...the one up north that no one goes to
empty,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
empty,I need to be sleeping.. But i'm not even tired..
empty,0
empty,@exortabreedoll what happen to the maids of yours? Quit once again? ...
empty,went to the beach and it started raining
empty,wut do i do now????
empty,Needs a new phone
empty,Is ANYBODY up? .... I'm sooo bored!
empty,intentando intentarlo ONCE AGAIN!
empty,"says morning everyone, off to work in 10 min's  http://plurk.com/p/wxom8"
empty,"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too"
empty,I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others  &quot; His ego talked and I'm in d line
empty,@allyycase I'm trying to sleep!!! It's not working
empty,@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l
empty,those workmen extending R block can't start this early surely.. its 7:45am and already they're making a racket and woken me up!
empty,@Steinmoney      You'll be missed!!  Bring me back  a keychain!
empty,my knee is killing me  im off to bed!!
empty,wants to go home.
empty,Unstable broadband and electricity taking toll on my mental stability.
empty,@wettingfeld  guess I have to get dressed and be pretty then
empty,@makavellirayne nah the lights killed the mood now you got to get out my bed
empty,@meeksdigital haven't worked there for a long time but kinda miss it! I miss anna  seen her? i'll prob be in SLO most of the summer! you?
empty,"Can't sleep, just laying here in the dark"
empty,@wolfofmibu   I need a wardrobe intervention
empty,@kimoraklein my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept
empty,Good night twitter friends - I'm nodding off at the 'puter
empty,I want it to be Wednesday already so I can hurry up and go to New Zealand so I'm busy and not sitting here bored and stressing
empty,so had a freakin lond thursday  ready to hit the hay and surprise surprise I can't freakin sleep :/ Boo!
empty,@106jackfm I'm not that's why I'm sulking  not free all day
empty,"@Lacrimae Pfft, there you go with the logic again!"
empty,Today = marking *135
empty,is tired of being tired
empty,@LittleLee yup! way to fucking early and I'm already at work
empty,@katiemoffat I was never a good stereotypical teen
empty,"I spent my free time over the last few days converting my server to 64bit, getting VT-x working etc just to get something to run. No Luck"
empty,http://twitpic.com/665w2 - see miles away
empty,sore throat. Planning the TET outing to Marwell though...good times
empty,sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.
empty,dog just farted  so bad.....
empty,"@Alegrya Yeah, I've got the same issue - signed up but no confirmation email"
empty,@davidnikel i don't even know what sporting social enterprise means....
empty,"Just watched Mall Cop. Wasn't that funny, but wasn't too bad. I guess. I kinda wish I still worked at a movie theater...."
empty,The sun is shining and I'm stuck in work
empty,@MAGUSWEAVER don't follow me. You will ruin my twitter experience
empty,"I had 2 buy a new washer, bought the dryer 2.  Dryer labeled electric but is gas   GRRR.  Now we have 2 load it up tomorrow 2 return it."
empty,Curse you breakfast gods....full bowl of cereal + not enough milk =
empty,"what the hell am i doing awake this early,"
empty,@femiknitzi Three-quarters through I believe. Will not finish tonight.  I blame errands and a certain loud at a bookstore.
empty,@catticho diego? i know lo ame a jack
empty,@ApDiggles He's my mother's favorite. It was so hard telling her.
empty,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd
empty,"@steve_caruso So I took the polish off of the nail of the finger the door handle murdered earlier, and well... it's not pretty...."
empty,Awake at 4am..  can't sleep
empty,My cucumber has gone limp
empty,is leading dull life this Friday... Babysitting!
empty,so bored...
empty,You fooled me!
empty,"Woe, it's definitely NO fun to travel first class with a bike. You have to fight your way through 7 coaches 'til you reach your seat"
empty,"@chrisontv88 I had a joke for you, but it's too long to tweet."
