Emotion,Text
enthusiasm,wants to hang out with friends SOON!
enthusiasm,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
enthusiasm,I want another tatt
enthusiasm,"So, I need to make a lot of money tomorrow"
enthusiasm,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
enthusiasm,one week till exam block
enthusiasm,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting
enthusiasm,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy
enthusiasm,Counting the minutes when my dad's g-friend is leaving
enthusiasm,@leopardqueen @seekinspiration Have fun! I miss you guys a lot!
enthusiasm,I am going to die tomorrow night.  @emilazy should be here.
enthusiasm,"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there"
enthusiasm,boring. i wanna go for taekwando
enthusiasm,Watching Leno for the second to last time on the Tonight Show
enthusiasm,Only one more day of Jay Leno  que sad!
enthusiasm,Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep
enthusiasm,i want candy!!!
enthusiasm,Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe
enthusiasm,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit
enthusiasm,"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7"
enthusiasm,"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it"
enthusiasm,@ScottRhodie I wanna be drinking at the pub
enthusiasm,"Up early this morning, first to portmeirion then home"
enthusiasm,"Getting ready for work and the sun is shining, plus it's the w/e! Bgt tonight..... what am I gonna do after it's finished?!"
enthusiasm,@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home
enthusiasm,@JustcallmeMac your making me jealous now  I want one! How long have u guys been married?
enthusiasm,can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh
enthusiasm,@katieclair88 You guys didn't call or come over  Did we do something?! Def. give us a call tomorrow and hang out with us chick!!
enthusiasm,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs
enthusiasm,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.
enthusiasm,"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!"
enthusiasm,I Need to get my friggin cameras cleand ASAP !!
enthusiasm,"At work   leave for Berlin at 17:00 by car, will be a late arrival"
enthusiasm,"@ubuntugeeks good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!"
enthusiasm,"ahhhhh, I am falling asleep here, there is no way I'll be able to survive Liverpool   Although, I can't wait to have my Nan's food."
enthusiasm,@Melissa808 nah im pooped from moving 2day im just laying down relaxing  lol
enthusiasm,I'm missing crab legs and attending my going away instead!
enthusiasm,UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.
enthusiasm,I WANT LASAGNA TOOOOOOO.
enthusiasm,company is offering 2nd round of VSS RIF!
enthusiasm,Looking for photo inspiration. But everything I want to do required more space than I have
enthusiasm,@sotongs Sigh
enthusiasm,waiting for PRINCES PROTECTION PROGRAM online in English version  so long
enthusiasm,http://bit.ly/Wl9yL  i want to go here
enthusiasm,Anyone up this te of night? The tweets have slowed down  let me know ur out there and I'll follow u
enthusiasm,im going to work
enthusiasm,i miss justin timberlake's voice. i want him to make new album again
enthusiasm,@herojaejoong Feel hungry now   Cook for me pleaseYour food it's my energy to work~
enthusiasm,well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!
enthusiasm,@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups
enthusiasm,"@edziardo : Hi, there! I'm sorry for not telling you  Let's meet up! With @yayi_meirizka too. You promised to treat us! XD"
enthusiasm,"@FuschiaFoot sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause"
enthusiasm,"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4!"
enthusiasm,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..
enthusiasm,"@garrulous_gal of course! *cough* I mean, no, 1.5 hours extra testing and debugging time"
enthusiasm,had to take my baby to the vet again today
enthusiasm,Dubai!!! Still trying to settle down
enthusiasm,I really want a camera!
enthusiasm,Going to the Chiro to see what is wrong with my bum ankle.
enthusiasm,@Hilareeee But...but...I'm not!
enthusiasm,Need to buy a bluetooth device for machine
enthusiasm,The JBs love to keep secrets!  'Oooooh!'
enthusiasm,@MelzieC I saw the show listing and saw it was on a Wednesday!!!!
enthusiasm,"@capitaln Um...no  We will most likely be inside a lot, maybe the skirt will work!"
enthusiasm,"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!"
enthusiasm,i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!
