Emotion,Text
fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
fun,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
fun,RIP leonardo. You were a great mini fiddler crab
fun,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
fun,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
fun,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
fun,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
fun,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
fun,"i should be finished.... but i'm not.  color drawing, here i come."
fun,@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..
fun,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss
fun,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!
fun,@BriannaBanshee such a dissapointment  hhaha
fun,"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie"
fun,was playing street fighter IV and Seth Raped me
fun,must clear out my DVR... getting rid of it tomorrw.
fun,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?
fun,i wish i was at @angelcore's burning trees and trying on dresses...
fun,I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.
fun,is it unny today or not? taking too long to decide haha. i wna get a tan
fun,"I just watched 7 pounds, maaaannnnnnnnn!"
fun,so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!
fun,@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.
fun,@TerrenceJ106  aww-that's my last one. Roo-Oop
fun,@ghozali actually I'd prefer a rum or gin but don't have have any as I've preferred them too much previously
fun,@kevindavis1914 @taylorblack said no  ...she'll b @ home in 5mins to tweet u lol
fun,i really want a blackberry  my sidekick is hella wack. night
fun,Listening to some nice music.. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland
