Emotion,Text
hate,It is so annoying when she starts typing on her computer in the middle of the night!
hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
hate,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
hate,@mrgenius23 You win ... SIGH Rakeem
hate,"@soviet_star Damn, that sucks"
hate,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
hate,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
hate,@britblackbird  youstinkatrespondingtotexts!
hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
hate,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
hate,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
hate,would wish the severe migrains would stop!!! doc's prescriptions arent working
hate,@tiffalo cuz airlines are super lame.
hate,I'm so very tired...and have insomnia.
hate,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
hate,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
hate,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
hate,@lanacaitlin  hahaha well its try its so ugly
hate,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
hate,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
hate,my roommate @tess_tickle loves to ignore me
hate,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
hate,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
hate,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
hate,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
hate,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
hate,@all_is_one84 Those suck so bad.
hate,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
hate,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
