Emotion,Text
neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
neutral,cant fall asleep
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
neutral,@cynthia_123 i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
neutral,SoCal!  stoked. or maybe not.. tomorrow
neutral,Screw you @davidbrussee! I only have 3 weeks...
neutral,has work this afternoon
neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,@benballer  no way! damn that sucks B!  are you ok?
neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,@lostluna But I got dibs on Sulu...
neutral,At home alone with not much to do
neutral,I cant give @jertronic any bday nudges.
neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking.  http://plurk.com/p/wxion
neutral,I miss Voobys!
neutral,@Dancing_Monk Neither are ELP!!
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
neutral,@lepetitagneau what's going on sweetheart?
neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
neutral,@willxxmobb work at 6am. Gotta go to bed soon
neutral,PrinceCharming
neutral,Oh is that time for real?
neutral,@justamedicine  That was stone cold   Crazy....  ?
neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
neutral,@thecreativeone I second that. I wish it rained more where I am
neutral,damn it were is Eric or anyone else when you need your hair to be played with
neutral,I'm feel deflated. Ugh. No more dog.
neutral,Well it almost was a good day... Guess I just retry tomorrow
neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
neutral,@jwillock EpiCentre Wheelock Place - tourists only..
neutral,miss 16'th
neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
neutral,what is it with chocolates? i just can never say no
neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
neutral,still needs another 6 hours of sleep
neutral,"Morning tweeple,way to early again"
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
neutral,fun in the sun hmmm hell no it's cold
neutral,@juneyee i don't think so.  I WANT DETAILS.
neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
neutral,my last tweet didn't send  bad phone
neutral,@taxidermi  I was watching Parental Control
neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
neutral,@aiderushton ill be over in an oir
neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
neutral,@MrRathbone what about me
neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
neutral,#3wordsaftersex it never started...
neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
neutral,@mysticnz no im not  cries LOL
neutral,Come on Knight... It's been well over 4 hours
neutral,twittascope is NOT rocking my socks - go away already!!
neutral,Driving Back home because I forgot the piece of cake for @v_era
neutral,@koifusionpdx i was so close to the tacos...one spot too late
neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
neutral,@passingcarss i wont have time to buy  and i need a new binder pa
neutral,25-man Ulduar is hard...
neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
neutral,@princess_oats this is happening to me too
neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
neutral,@sillybabyjulie me too
neutral,@digenis that story reminds of living in Portugal
neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
neutral,"lyin in bed, up faaaaar too early"
neutral,When will Medhurst play again?
neutral,@duncm I'm a bit Ben's Thai-ed out
neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
neutral,in 7-11  w/o you
neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
neutral,Counting the hours of lost sunshine until the Weekend
neutral,good morning work this morning gutted lol nevermind
neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
neutral,Ready To Go @ School
neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!
neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
neutral,for the gays i only made 200 tonight
neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
neutral,the week just wasnt the same without an adam lambert performance!!!
neutral,@rockingjude The link doesn't work
neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."
neutral,Smh @ hiphop nursery rhymes
neutral,"@taylor_d No, it's not..."
neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you
neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
neutral,Can't sleep and nothings on tv!!
neutral,@KallieT oh ... you've been superseeded?  not good enough
neutral,@dorkydeanna IIII know!!! and mean
neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
neutral,back to work.. with no distractions..
neutral,awwww  i never noticed this http://bit.ly/RConp
neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx
neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
neutral,"the time you go to bed,  i have to get up to go to work"
neutral,"@miss_cheryl Lucky, now I want to teleport"
neutral,FC is finally up again. it's about time. i hate that this keeps happening
neutral,seriously bored without anyone to talk to... but not tired enough for sleep
neutral,@keytar still!! give your computer a break omg
neutral,where u at?
neutral,@Forever_Yours13 I'm not at home with my cats right now!
neutral,Leno's last show was tonight.  I like him better than Conan.
neutral,@monpio i don't have any of that
neutral,@eCheers Random has an a
neutral,@ddlovato july... too long
neutral,Wearing glasses gives me a headache.
neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
neutral,"friday here at last, not much fun when your skint though"
neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
neutral,the times they are a changing
neutral,@slickiris video is not available to us foreigners
neutral,waiting to get picked up!
neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
neutral,In 1 horse town + 2 blown out car speakers =
neutral,Someone make me a cofffeeeeeee......
neutral,My nose is stuffy
neutral,last night in newport
neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,Baby was not herself after recieving vaccines
neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
neutral,@zaharh that sucks!  how old are you actually?
neutral,Still confuse...
neutral,scratch that; sleep on a stage bound.
neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
neutral,@laurelexmachina Swimming is a no go for me
neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
neutral,@Joshuah_Pearson
neutral,@ccburns Unfortunately not
neutral,@emlevins
neutral,ups ketauan cabut nih gimana dong
neutral,Off to bed!! Still exhausted from Vegas
neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
neutral,asks for karma points please.  http://plurk.com/p/wxnt9
neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
neutral,@Johnny_Exp not where i live.
neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite
neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos"
