Emotion,Text
relief,I'm at work
relief,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
relief,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
relief,is home.  safely... but hungry
relief,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
relief,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
relief,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.
relief,@charlieboy808 thanks for the rt and sorry about your new place with the domestics
relief,@kaseypoteet LOL yeah yeah you big perv ;) Was hoping to see you next week but scrapped plans
relief,@nawid nope  het is LOST&amp;found he ;-)
relief,@colstewart You're cycling tho' that's good. Healthy eating  Healthy and eating are a contradiction in terms.
relief,"Off work, trying to relax for about 30 mins before I've gotta go back to sleep"
relief,@KevinDavis1914  .... It was just alriiightt
relief,"@ddlovato, ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr  but stilll ahhh! congratss."
relief,@kimberlymdg I had fun tonight! I'll leave you with this...Brandi Carlile will be in Dallas today.  We should just sneak into the show!
relief,@DHughesy ME! I wanted to go.
relief,@delta_goodrem should updatd her twitter
relief,"missed all the awesome weather, because she was in a movie!"
relief,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy
relief,off to my Psychology class.
relief,#thingsmummysaid You need to learn to wash dishes and do laundry because I won't always be here to do them for you. She was right
relief,@redframer123 I think they make you turn your phones off  I'll see what I can do!
relief,@oxygen8705 aww ty! s'just a bummer watching conversations
relief,Aw. The sky is weeping.
relief,shattered! PWG botched his hybrid dolphin shirt order and sent him xl
relief,Done with my drew and jayk handmade gifts now watching old menudo vids
relief,"Bout 2 lay iit down, got a head ache   @niariley we hangin tomorrow idont care wat u say lol..soooo dm me ur # &amp; imma hit u tomorrow k ;)"
