Emotion,Text
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
sadness,@charviray Charlene my love. I miss you
sadness,@kelcouch I'm sorry  at least it's Friday?
sadness,Ugh! I have to beat this stupid song to get to the next  rude!
sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
sadness,The storm is here and the electricity is gone
sadness,So sleepy again and it's not even that late. I fail once again.
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
sadness,@Pokinatcha  in all honesty...pain   blech.
sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
sadness,dont wanna work 11-830 tomorrow  but i get paid
sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
sadness,Is miserable  i feel like im gona cry  sux!
sadness,*sigh* I'm going to bed... I just don't feel right anymore...
sadness,Now I am depressed after watching so you think you can dance
sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
sadness,"Last day working for the Uni today, sad times"
sadness,is still missing her husband.    I really want him home.
sadness,I miss my puppy
sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
sadness,Took a shift tomorrow.    I don't really feel like working right now.
sadness,but now i have no money for a phone
sadness,Too bad the Red Devils.. disappointing to say the least
sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
sadness,is a bad friend
sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
sadness,@lenje - Still a pity it comes with no lamb though
sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
sadness,Had to cancel wow for now
sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
sadness,Up late with nothin 2 do.....
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
sadness,It's pissing me off and not letting me follow ericka
sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
sadness,I haven't seen Muffin in two whole days!
sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
sadness,my teeth and head hurts
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
sadness,no more arrested development. i am sad.
sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
sadness,I feel so deflated. No more doggy.
sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
sadness,Fuuudge. Movie store is closed
sadness,ALO is so sad and quiet and empty tonight
sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
sadness,Sad that Christian Lacroix had to file bankruptcy
sadness,I dont feel good AT ALL. fuckkk
sadness,Have to go to the dreaded DMV tomorrow
sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
sadness,God I just want to sleep.
sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
sadness,@RealBlackWidow But but I dun wanna
sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
sadness,feels sick to my stomach and idkk whyy
sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
sadness,@judyrey  The link doesn't work
sadness,my stupid tooooth hurts
sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
sadness,@Penguin_J heehee. i love you! i am tired.
sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
sadness,@joiskol  being in your room makes me sad.
sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
sadness,@meljachin: eww. dislike
sadness,"@SuzyDunkley sorry bout the cat,"
sadness,missed iron chef
sadness,@thevowel the DS version sucks
sadness,what a bad day
sadness,went to the cd store to search for the cd. But
sadness,I miss my mom..  &quot;May angels lead you in&quot;
sadness,@chocolovere i feel the same way every day
sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
sadness,So have a headache right now and it sucks
sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
sadness,misses my baby.
sadness,I'm poorly and can't sleep
sadness,has work tom.
sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
sadness,@nickkk_ that sucks!
sadness,Having Fever  dont feel to work
sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
sadness,Missing you all deeply
sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
sadness,I don't want her to leave..
sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
sadness,@WillyNorthpole I wish I was there
sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
sadness,morning again! I hate mornings. So offensive!
sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
sadness,@brianshead waah. We're no longer your peeps.
sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
sadness,@MariusLT I'm sorry about your bad driving experiences.
sadness,Already misses @CMontecillo
sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
sadness,"First my work computer, now my home laptop is fucked."
sadness,@joek949 It's depressing I'm stuck inside all day
sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
sadness,"Woke Up,I Wanna Stay In My bed"
sadness,Upsidedown tomato plants died!
sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
sadness,@prncsztalia why do you hate me!?
sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
sadness,#jonaswebcast i just missed it!!!!
sadness,So exhausted..can't sleep. I don't like these nights
sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
sadness,@NothinButSin sorry to hear that.
sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
sadness,finished a whole box of ice cream
sadness,@chrisontv88 btw I am not a wimp
sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
sadness,I don't wanna go back to work   sleepy time.
sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
sadness,I miss my friend
sadness,Yea i just saw this really sad commercial
sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
sadness,Hates having to sleep alone
sadness,I loved johnny carson now I'm going to hate seeing jay leno go
sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
sadness,@Dakshinamurti Not yet... sorry
sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
sadness,tummy ache.
sadness,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
sadness,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
sadness,"I can't sleep, this is so darn frustrating."
sadness,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
sadness,RIP kelly  fucccccck
sadness,Not feeling too good
sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
sadness,its funny. i'm kinda sad on my last day
sadness,Jenny fell asleep and didn't come over
sadness,Wishes you had teased me with movie night
sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
sadness,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
sadness,"off to work now, finish about 9pm  booooo."
sadness,Wishes you hadn't teased me with movie night
sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
sadness,should be sleeping.  lost my voice a couple day ago.
sadness,I was too sleepy earlier and i didnt get to see matt
sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
sadness,how to have a glowing face? my complexion is always so pale
sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd
sadness,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
sadness,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
sadness,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
sadness,Annnnnnddd another one bites the dust
sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
sadness,@hammett I wish I could have time for my xbox  project all tied
sadness,And trash repops.  Getting it tomorrow night I suppose.
sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
sadness,Missing Everyone
sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
sadness,@wired that is so sad
sadness,is still sick  sigh
sadness,i feel really weird
sadness,my throat hurts  gonna go read and go to bed. text mee!
sadness,fjdskal im really frustrated.
sadness,Wondering how come mcdonalds take so long to deliver my food.
sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
sadness,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
sadness,what a beautiful day - shame I've got to spend it in an office
sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
sadness,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
sadness,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
sadness,Tummy hurts
