Emotion,Text
surprise,Got the news
surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
surprise,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"
surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
surprise,when da heck will the garage man get here I ask you.. WHEN..
surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
surprise,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
surprise,@FoxxFiles aw u can't let me in on the secret!
surprise,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
surprise,is thinking so much and i'm at work
surprise,my gap year is going so quick
surprise,@qi_tah oh no.  *hugs*
surprise,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
surprise,@heavenjones ur supposed to be in BK tho
surprise,Oh no!  Nighty night.
surprise,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
surprise,omg i didnt tweet all that much today.... *sadness*
surprise,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
surprise,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
surprise,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
surprise,Extremly deep
surprise,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
surprise,@astynes Me too.  Wonder if Mnet will show it...
surprise,I cant use my blackberry today. This sucks.
surprise,lol i cant drink!!
surprise,"if bill compton has wii, why can't he have twitter?"
surprise,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
surprise,Just saw a fox!  as i was getting on the freeway... I hope it goes home
surprise,recapping on britains got talent. britain seems more talented than america
surprise,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
surprise,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
surprise,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
surprise,"aku kbangun gara2 mimpi @manyolitha, very bad dream"
surprise,So wish the Carlton game was on live  stupid channel 7 lol.
surprise,Wow. That hurt way worse than i thought it would.
surprise,No churchill downs for me tomorrow
surprise,Bahh the police ended the party @ 5!!  Just when i was starting....
surprise,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
surprise,mannnn..... @alllyy_ got an iphone!!! im jealous....
surprise,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
surprise,@future_perfect I'm trying to self learn photoshop but it's not going so well!
surprise,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
surprise,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
surprise,OUCH! my earphones just shocked me
surprise,Bah I don't think @bing's FB fan page will get to 7500
surprise,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
surprise,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
surprise,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
surprise,Where is my bestie when i need him @iAmcertiPHIed
surprise,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
surprise,@FriendlyFetus cause they changed man....
surprise,"My Pandora is hitten hard, why can't real radio play great music like this"
surprise,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
surprise,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee
surprise,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
surprise,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
surprise,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
surprise,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
surprise,wow i have no friends on twitter
surprise,@Katarinea Oh wow  ouch...
surprise,@ruthchu wat the! you were in riverside??
surprise,@sydthekid why are you sad?!
surprise,@niccoqp I miss going to EK every summer &amp; christmas vaca  Take me there!
surprise,they shot him  he was still alive too...
surprise,@runhipporun just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
surprise,"Oops, they don't open until 9am"
surprise,@valdivia1 what about me?
surprise,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
surprise,@bskeete87 THEN Y R U LEAVN???? STAY!?
surprise,"@destinyeyes i'm sorry! lol i have never had, like, actual time to spend there unfortunately. everything's always been INSANE when i go"
surprise,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
surprise,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the @jonasbrothers live chat i was ccrying i was sad
surprise,???-?? ? youtube ? ????
surprise,@mzstokes No twitpic?  lol
surprise,@DSTROYR @RockDaMullet awwww i have no internet right now....  -drummer boi
surprise,"Bing! no its not Chandler Bing, its the new Search engine from Microsoft http://tinyurl.com/mgcotd ..but why the name Bing"
surprise,aw got orthodontist today
surprise,my cheeeks hurt so bad. what happened!?
surprise,@kim_flores aww i don't! i guess that's why it doesnt  (blackberrymessenger)
surprise,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest
surprise,Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)
surprise,Fun game of 'Candamir' with the kids last night. Can't believe it's now our last day
surprise,Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before
surprise,@_C_A_S_ IM MAD IT WASNT SCAREY
surprise,"@deezeen I know, pero available na yata eh. Sa Singapore, though!"
surprise,feeling so dizzy right now
surprise,@ZDAEfron and @hudgensness why are u two fighting.
surprise,"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting"
surprise,@Maccah Red? wtf happened to dark blue + black stripes?
surprise,my stupid msn wont sign in
surprise,Ship. I'm stuck.
surprise,blast from the mofo'ing past. NTS why must you suck so badly at school?
surprise,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!"
surprise,@serenetan Is it? Wah. Wasted trip!
surprise,Lots of confusions I've at my work place..
surprise,"I'm a genius  put rug in washing machine, left folding door half open, machine moved now door won't close or open. shaking head."
surprise,@absolutelytrue  #nightshift I'm still working  luckily having fun with it. I can turn the music up when no one else is in the office. yay
surprise,"@Emsy Yeah, mine said &quot;That's a nice picture&quot; &amp; gave me the red x!  Hope you get it working soon!"
surprise,... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq
surprise,@jlynn242001 ur there when I'm not  lol
surprise,"@AmandaSevasti Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies."
surprise,@BrandyWandLover Oh I see who u mean now-tht heltershelter person lol. yer looks scary
surprise,"WTF? Advertising gone mad, they want access to my  camera and microphone? What for? Amazon should really know better  http://bit.ly/5FoKQ"
surprise,i hate it when a website says the ticket prices are on another website and their not
surprise,alice doesn't know what to wear to the cinema  &lt;3
surprise,I don't think I am going to get to see any of the sun today  gutted I NEED COLOUR!
surprise,wow i must have been tired. i fell asleep @ exactly the start of the 10pm news &amp; now up as if its 8am.
surprise,OMG My sister got my brother a &quot;Jonas Brother&quot; look-a-like trenchcoat and I'm like JONAS STYLE and they told me to shutup no1 likes them
surprise,I'm going to bed ....it's weird the 1st time in a long time.. He didn't call and say goodnight  ... Ima lil curious
surprise,http://twitpic.com/665to Less than 24 hours till the show! Oh and Lee broke his guitar at practice    http://twitpic.com/660vv
surprise,So it's Friday... I have to keep reminding myself since every day seems the same
surprise,i want to go to singapore but my mother seems not
surprise,Owww I'm aching alll over!!
surprise,yay it's friday... hold on I have to work tomorrow
surprise,umm...why will it not let me change my background?! im twitter-challenged.
surprise,@roninreckless dude you didn't even say bye
surprise,@paper_hand Oops! I completely forgot!
surprise,@thatlass he was a very tallented man so its fitting wish I was closer to see it myself
surprise,"Devastated,set alarm for 9.30,forgot to turn 7.30 alarm off got up at 7.30 and showered thinking it was 9.30,I am a full fool"
surprise,falling asleep and waking to gun shots arent fun
surprise,Back at work.....too much email in my inbox....
surprise,oh men..not in the mood  I'll go home tomorrow..wanna be w/ my family..its my birthday
surprise,@TylerHarrell do you really smoke???
surprise,"Ok, ahhh! Last chance to go into school before chemistry exam!!"
surprise,Sooo tired i cant believe its already dark outside i didnt even get to see the day
surprise,@dougiemcfly Aint the UK fans your fav people!?
surprise,Is up and I can't go to sleep!
surprise,@bbyowls i cant afford it  go to school here ? !!
surprise,"@FannyAddams Aw you named your car, that's very sweet. I'm sorry to hear that Petey has to go, I hope you find a really posh rollerskate."
surprise,Oh my gosh! My hair is so short! I miss my long hair!
surprise,I almost say &quot;bless you&quot; to a sneezing cat
surprise,#3breakupwords you have changed
surprise,"@beautifulpyre GRR. we are only allowed gas grills where i live, it sucks."
surprise,what's wrong with people? Second break-in at Wallmans tonight
surprise,@Phoebo oh poor you  atleast get paid for staying back or?
surprise,"@TerrenceJ106 Here! Got a 2JOBs &amp;a degree, but my damn car DIED so @lamborghinibow just made me feel shitty bout not havin a car!"
surprise,@Scrambledmegs haha i love surprises! i don't work til sunday tho so i have to wait.
surprise,@wilw wtf pogs are back too?
surprise,"@ELJmcfly I don't think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed"
surprise,yea dude... 5'8&quot;! really!?
surprise,@iSpyLevis nooooooooo i just got into my pyjamas!
surprise,"@liedra Bubble tea is awesome, it's been so long since I've had some"
surprise,what a lovely summery morning! Shame I have to be in work!!!!
surprise,@halina1979 what sun?
surprise,can't believe he has to wait till October to see &quot;Up!&quot; when Americans get to see it this weekend.
surprise,@sebchew YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I'll come prepared!
surprise,"Wow one year today Luc Bourdon was killed, doesn't seem that long ago"
surprise,@swpave ?????????????
surprise,i thought it was already winter. turns out winter has even started
surprise,Not ah huge fan of getting up in the middle of the night to change peed sheets and underpants.
surprise,huh? its 1 am already? shucks
surprise,Arghhh...my korean dvd can't see..I need to laugh..
surprise,@amberndragt  There isn't any right now. They need to make more. Sorry.
surprise,Is too much of a bro
surprise,@davidmarkscott another letter for you - this one car insurance - ouch
surprise,I can't believe how fast this week has gone by
surprise,@jesssicababesss really? cuz KC.com said it was releasd 24/4 here n the main station doesn't even hav it
surprise,@oOogabriela wat u doin my bad im mixin this song
surprise,"@atlprincess 'erocka the ruler' i called you, but i see i gets the no love   whats up with that?"
surprise,@ncremins Wednesday? you are joking me? that soon???  when's the partaaaaaaay?
surprise,@MAVinBKK it feels like ages away! More than 5 months
surprise,sleeping... would've been home sooner but we accidentally killed bambi on the way home
surprise,Woke up and there was sun! And then it started to rain
surprise,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ..."
surprise,"@k_tron oh god, whose tire?"
