Emotion,Text
worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
worry,Hmmm. http://www.djhero.com/ is down
worry,Choked on her retainers
worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
worry,I ate Something I don't know what it is... Why do I keep Telling things about food
worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
worry,I need skott right now
worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
worry,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
worry,why am i so tired?
worry,sucks not being able to take days off of work or have the money to take the trip  so sad
worry,@itsgabbith at once haha.  poor aby still gets sore!
worry,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
worry,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
worry,is sad that shin ae got married...and it wasn't to alex
worry,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
worry,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
worry,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
worry,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
worry,I can't sleep...I keep thinking about the puppy I played with today
worry,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
worry,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
worry,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
worry,Oh no one minute too late! Oh well
worry,ahh! big scary bug flying around my room!!!!!
worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
worry,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
worry,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
worry,"I cant sleep, but im too sore to move"
worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
worry,@omfgiselle i cant do anything
worry,My head hurts so bad I could scream!
worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
worry,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
worry,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
worry,oh men!!!!!!......I really can't see my face........c'mon guys!!!
worry,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
worry,my sole supporter is not my sole supporter
worry,@Emilyyy16 urgh stop it guys
worry,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
worry,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
worry,is feeling sad... for some reason..  http://plurk.com/p/wxji3
worry,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
worry,@jertronic it wont let me
worry,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
worry,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
worry,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
worry,why are plane tickets so expensive
worry,Needs a job BADLY!!!
worry,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
worry,people in my house do not know how to close doors
worry,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
worry,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
worry,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
worry,@__sugar oh no  i am always here ;) &lt;3
worry,i think the vog is making me sicker than i think. feeling slightly achy
worry,i am doing homework it sux big time maths is the worst!!!!!!
worry,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
worry,i'm sooooooooooooo confused
worry,"Work day 7 of 7,"
worry,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
worry,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
worry,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
worry,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
worry,I have forgot the live with the Jonas Brothers on Facebook
worry,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
worry,my twitter has been hacked again
worry,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
worry,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
worry,"Okay, so twitter suddenly changed, how do I respond to messages now"
worry,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
worry,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
worry,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
worry,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
worry,I need to be held...  Gnite.
worry,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
worry,@blood_rain i wanna see her hair  hows everyone?
worry,Aww...  Pray for the arroyo family everyone!
worry,@wuzzyangel You never answered your DM I sent you....   I need your info...
worry,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
worry,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
worry,@jose3030 I didn't think anyone caught that
worry,looks like i'll never go to the zoo
worry,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
worry,@Moss1982 bad times?
worry,@SharonHayes Thank you for the rec but that doesn't work
worry,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
worry,I don't know how ima work out tomorrow wit my body dis sore  ugh
worry,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
worry,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
worry,"Lady across the way had a miscarriage, say a prayer"
worry,I feel so deflated. No more doggy.
worry,is feeling bad  just got bad news about my Mum
worry,don't feel like working  I think I tweet this too often!
worry,vineri...nimic special sau probabil un alt weekend pierdut...
worry,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
worry,The humpalow um ya I think so... Cell is dying
worry,Last day at work...Sick to the bone
worry,i feel like I'm on house arrest.
worry,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
worry,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
worry,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
worry,my dog ran awayyy
worry,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
worry,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
worry,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
