tweet_id,sentiment,author,content
1956967341,empty,xoshayzers,know listening bad habit early start freakin
1956967666,sadness,wannamama,laying i bed headache ugh waitin
1956967696,sadness,coolfunky,funeral ceremony gloomy friday
1956967789,enthusiasm,czareaquino,want hang friend soon
1956968416,neutral,xkilljoyx,want trade houston ticket
1956968477,worry,xxxPEACHESxxx,re pine prom be of like friend
1956968487,sadness,ShansBee,sleep i think old friend want marry damn amp want 2 scandalous
1956968636,worry,mcsleazy,him
1956969035,sadness,nic0lepaula,charlene love miss
1956969172,sadness,Ingenue_Em,sorry friday
1956969456,neutral,feinyheiny,it fall asleep
1956969531,worry,dudeitsmanda,choke retainer
1956970047,sadness,Danied32,ugh beat stupid song rude
1956970424,sadness,Samm_xo,u watch hill london u realise torture week week late watch itonlinelol
1956970860,surprise,okiepeanut93,get news
1956971077,sadness,Sim_34,storm electricity go
1956971170,love,poppygallico,agree
1956971206,sadness,brokenangel1982,sleepy late fail
1956971473,worry,LCJ82,lady gaga tweet impress video leak know
1956971586,sadness,cleepow,convinced want signal damn think lose friend
1956971981,worry,andreagauster,oh bad hope get well have sleep issue lately
1956972097,fun,schiz0phren1c,wonder awake am write new song plot evil secret plot muahahaha oh damn secret anymore
1956972116,neutral,jansc,topic map talk balisage markup conference 2009 program online
1956972270,worry,sweet8181,eat know tell thing food
1956972359,sadness,xamountoftruth,tired think definitely go ear infection go bed quit early quit
1956972444,worry,jomama6881,way home i have 2 deal i underage girl drinking gin da bus talk bout kegger damn feel old
1956972557,sadness,LilithGaea,sorry people rude isaac manner know well lewd
1956972884,worry,oONEPTUNEOo,damm server need hit 80 koxper pass
1956973598,sadness,username_origin,fudge us'd paper tired ugh hate school time sleep
1956973690,worry,catchtheapple,hate cancer hate hate hate
1956974706,hate,MavrickAces,annoying start type computer middle night
1956975441,neutral,LovableKeKe,it sleep
1956975860,neutral,analalalah,miss be y bus
1956975876,neutral,jubaldo,feel strong contraction want
1956975927,neutral,mikhaelaela,socal stoke maybe tomorrow
1956976187,neutral,ivoflipse5,screw 3 week
1956976312,sadness,amy__xx,yeah i feel funny cause sleep wake mum cause singe impressed i
1956976371,worry,babyxj,need scott right
1956976557,neutral,JanBenn,work afternoon
1956976681,neutral,HarryHarley,aw unfollow cry
1956977084,happiness,ktierson,my well day far early day
1956977187,fun,diNGUYEN31,it 3 gon na twitter cause amazing lol come canada perform
1956977618,worry,MDD113,pick blackberry middle street crush
